slots,scanPeriod (in slotframes),b_avg,SD,modelAvgSyncTime (s),testbedAvgSyncTime (s),testbedCIL,testbedCIU,diffInAvgSyncTime (%), maxDiffInCDF (%)
101,0.5,0.603541,0.0136961,19.5779,19.6936,19.1893,20.2072,0.590992,1.139
101,2,0.608454,0.0188601,18.9107,19.3077,18.8193,19.784,2.09909,1.16596
101,3.5,0.62128,0.0206492,17.7024,17.6329,17.1731,18.0871,0.392675,0.668242
101,5,0.615936,0.0176059,17.1538,17.2602,16.8212,17.7002,0.620403,0.667726
101,6.5,0.621699,0.0124556,16.1906,16.2566,15.8513,16.6643,0.408068,0.855399
101,8,0.622711,0.0142329,15.4248,15.4074,15.0308,15.7992,0.112808,0.885539
101,9.5,0.612384,0.013607,14.978,14.9225,14.5632,15.2725,0.370519,0.965998
101,11,0.612977,0.0152288,14.2188,14.2643,13.9278,14.6,0.320027,1.29073
101,12.5,0.591366,0.0187554,14.5302,14.7393,14.3765,15.1083,1.43868,0.730076
101,14,0.604056,0.0177155,14.3191,14.2396,13.8985,14.5839,0.555191,0.834953
101,15.5,0.618603,0.0108723,13.9607,13.8834,13.5626,14.2185,0.553875,1.22353
101,17,0.62042,0.0253455,13.9621,14.1406,13.7834,14.4995,1.27866,0.6613
101,18.5,0.615319,0.0183597,14.116,14.0899,13.7436,14.4556,0.184903,1.60673
101,20,0.608393,0.0246378,14.2853,14.0533,13.7111,14.414,1.624,1.34375
101,12,0.605971,0.0166284,13.9425,13.7201,13.3981,14.0447,1.59515,1.43368
101,0.992248,0.614389,0.0188637,19.2232,18.8112,18.3346,19.2881,2.14338,1.8782
