scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
13 14 13 11 11 12 14 12 ,11,4,101,0.500000,3.841613,0.081909,3.759674,0.000000,157055,0.006103
11 13 13 ,11,4,101,0.500000,1.164337,0.036560,1.127777,0.000000,157257,0.009521
14 11 11 13 11 14 13 12 12 14 ,11,4,101,0.500000,4.969024,0.103912,4.865112,0.000000,157762,0.006408
11 14 11 ,11,4,101,0.500000,1.273712,0.038146,1.235565,0.000000,157964,0.009918
14 14 13 13 13 14 14 12 14 11 13 12 11 14 14 13 12 14 11 11 14 13 13 12 12 14 ,11,4,101,0.500000,13.204437,0.290374,12.914062,0.000000,159378,0.003875
14 12 14 12 11 12 13 13 14 14 13 14 13 ,11,4,101,0.500000,6.407196,0.165344,6.241851,0.000000,160085,0.003906
11 12 14 13 13 12 12 14 12 14 ,11,4,101,0.500000,4.812744,0.122314,4.690460,0.000000,160590,0.007812
13 14 13 13 12 12 11 14 ,11,4,101,0.500000,4.015869,0.099975,3.915924,0.000000,160994,0.006927
12 11 12 14 13 ,11,4,101,0.500000,2.140869,0.065734,2.075164,0.000000,161297,0.008239
14 14 14 13 14 13 12 11 14 ,11,4,101,0.500000,4.172027,0.115264,4.056793,0.000000,161802,0.005126
12 ,11,4,101,0.500000,0.040252,0.016082,0.024169,0.000000,161903,0.003875
11 11 ,11,4,101,0.500000,0.531494,0.020263,0.511260,0.000000,162004,0.008605
12 14 11 11 13 14 12 13 12 13 12 11 12 ,11,4,101,0.500000,6.328277,0.166229,6.162078,0.000000,162711,0.008941
13 11 14 13 13 12 12 ,11,4,101,0.500000,3.500244,0.094696,3.405578,0.000000,163115,0.007965
12 11 11 13 14 13 14 11 13 13 12 14 14 ,11,4,101,0.500000,6.133087,0.164489,5.968597,0.000000,163822,0.008361
14 12 ,11,4,101,0.500000,0.992431,0.025634,0.966827,0.000000,163923,0.006134
13 13 12 13 14 12 12 ,11,4,101,0.500000,3.492431,0.093811,3.398651,0.000000,164327,0.005249
13 11 ,11,4,101,0.500000,0.844818,0.024139,0.820678,0.000000,164428,0.003906
11 13 11 13 13 11 13 12 13 ,11,4,101,0.500000,4.539215,0.119689,4.419555,0.000000,164933,0.007781
12 12 13 11 11 13 11 14 13 11 14 13 14 12 12 11 14 14 ,11,4,101,0.500000,9.023773,0.222991,8.800811,0.000000,165842,0.003875
12 14 13 14 14 11 13 14 14 11 12 11 ,11,4,101,0.500000,5.976837,0.148864,5.827972,0.000000,166448,0.006317
14 14 14 11 13 13 14 11 ,11,4,101,0.500000,3.922149,0.098510,3.823638,0.000000,166852,0.005371
14 14 14 ,11,4,101,0.500000,1.062744,0.040069,1.022705,0.000000,167054,0.008880
13 14 13 11 ,11,4,101,0.500000,1.531524,0.044738,1.486785,0.000000,167256,0.004516
13 13 ,11,4,101,0.500000,0.851806,0.023681,0.828155,0.000000,167357,0.010131
11 11 14 14 13 11 12 11 13 14 11 14 11 ,11,4,101,0.500000,6.345184,0.168151,6.177062,0.000000,168064,0.003875
14 11 12 13 13 12 12 11 13 ,11,4,101,0.500000,4.312683,0.116729,4.195953,0.000000,168569,0.007385
11 11 11 11 13 11 13 14 12 14 14 13 12 12 14 11 12 12 12 ,11,4,101,0.500000,9.195556,0.239807,8.955780,0.000000,169579,0.009002
13 13 12 12 14 ,11,4,101,0.500000,2.196990,0.068115,2.128875,0.000000,169882,0.003875
11 11 14 13 14 14 13 11 14 14 14 13 13 ,11,4,101,0.500000,6.555999,0.169921,6.386077,0.000000,170589,0.003875
13 11 13 14 14 13 12 12 13 11 14 11 11 14 12 13 11 14 ,11,4,101,0.500000,8.789306,0.223236,8.566101,0.000000,171498,0.006622
14 12 11 ,11,4,101,0.500000,1.328369,0.042724,1.285675,0.000000,171700,0.010070
14 11 13 12 14 14 11 ,11,4,101,0.500000,3.195587,0.091461,3.104095,0.000000,172104,0.009185
11 13 ,11,4,101,0.500000,0.586181,0.020660,0.565551,0.000000,172205,0.006958
14 ,11,4,101,0.500000,0.406494,0.018890,0.387634,0.000000,172306,0.004821
12 ,11,4,101,0.500000,0.345275,0.019653,0.325622,0.000000,172407,0.003875
14 11 13 ,11,4,101,0.500000,1.133056,0.040802,1.092285,0.000000,172609,0.006072
12 13 11 14 13 13 14 14 12 13 12 14 14 11 14 12 11 12 13 14 13 12 14 13 14 ,11,4,101,0.500000,12.226806,0.314941,11.911895,0.000000,173922,0.008941
12 12 13 12 12 11 13 12 13 14 12 12 11 13 11 12 12 ,11,4,101,0.500000,8.453369,0.216979,8.236419,0.000000,174831,0.004974
12 14 12 12 13 12 13 11 12 11 12 12 14 14 ,11,4,101,0.500000,7.008056,0.174163,6.833923,0.000000,175538,0.005310
12 14 11 13 12 11 12 11 13 14 11 14 13 ,11,4,101,0.500000,6.453369,0.168334,6.285064,0.000000,176245,0.005676
14 11 14 14 11 ,11,4,101,0.500000,2.312744,0.067169,2.245605,0.000000,176548,0.006927
14 14 14 ,11,4,101,0.500000,1.173461,0.042419,1.131042,0.000000,176750,0.003875
11 11 11 13 11 13 12 11 14 14 11 11 14 11 13 13 11 12 14 13 13 14 14 ,11,4,101,0.500000,11.328369,0.291473,11.036926,0.000000,177962,0.007659
14 14 13 14 12 12 12 14 12 12 11 14 12 14 13 13 11 11 13 11 12 14 13 11 11 11 12 14 12 14 13 11 14 13 12 14 13 12 12 12 12 11 12 14 13 12 12 13 14 12 12 11 11 14 11 12 11 13 11 11 11 14 14 14 11 12 11 14 14 12 13 14 ,11,4,101,0.500000,36.086212,0.768737,35.317474,0.000000,181598,0.007293
14 11 12 13 13 11 13 14 14 14 13 14 14 12 11 11 13 12 14 13 13 ,11,4,101,0.500000,10.648712,0.228027,10.420684,0.000000,182709,0.006683
14 ,11,4,101,0.500000,0.078308,0.015319,0.062988,0.000000,182810,0.004516
13 12 13 13 13 12 14 13 14 11 11 14 14 11 11 14 ,11,4,101,0.500000,8.040527,0.168731,7.871795,0.000000,183618,0.003875
12 14 11 ,11,4,101,0.500000,1.453308,0.038787,1.414520,0.000000,183820,0.006103
11 11 13 12 14 14 13 14 13 ,11,4,101,0.500000,4.282379,0.100646,4.181701,0.000000,184325,0.003875
13 13 13 14 11 14 11 14 14 ,11,4,101,0.500000,4.500274,0.101348,4.398925,0.000000,184830,0.007751
12 11 13 14 14 14 13 11 11 11 11 11 ,11,4,101,0.500000,5.603240,0.124603,5.478607,0.000000,185436,0.003875
14 14 14 14 11 11 14 11 12 12 12 12 12 12 13 13 11 12 13 13 14 12 ,11,4,101,0.500000,10.844024,0.233367,10.610656,0.000000,186547,0.009735
12 14 11 12 12 12 13 13 13 12 11 14 12 12 14 13 14 14 13 11 13 13 11 13 14 12 12 12 14 12 14 12 ,11,4,101,0.500000,15.781524,0.381591,15.399902,0.000000,188163,0.006042
12 12 14 11 14 13 12 12 ,11,4,101,0.500000,3.968994,0.097534,3.871459,0.000000,188567,0.005157
