scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
11 15 15 ,8,8,101,1.587596,3.942199,0.097167,3.845031,0.000000,63226,0.008636
17 17 14 11 15 ,8,8,101,1.587596,7.531524,0.173828,7.357727,0.000000,64034,0.006713
14 ,8,8,101,1.587596,1.140869,0.040496,1.100402,0.000000,64236,0.010131
12 11 ,8,8,101,1.587596,2.219238,0.057678,2.161560,0.000000,64539,0.003875
18 17 17 15 11 15 12 18 ,8,8,101,1.587596,11.781555,0.267974,11.513580,0.000000,65751,0.008728
14 12 ,8,8,101,1.587596,1.969024,0.049499,1.919525,0.000000,65953,0.004364
15 18 12 12 13 18 13 17 14 18 13 16 16 15 18 12 13 15 18 11 16 15 13 16 17 16 16 ,8,8,101,1.587596,42.828521,0.975708,41.852813,0.000000,70296,0.004302
15 11 17 17 ,8,8,101,1.587596,5.914367,0.142333,5.772003,0.000000,70902,0.006896
16 14 11 15 11 17 14 12 11 15 18 12 11 17 15 18 18 13 17 17 15 12 11 15 18 12 13 16 14 ,8,8,101,1.587596,46.422302,1.048065,45.374237,0.000000,75549,0.013702
11 15 13 15 ,8,8,101,1.587596,5.048248,0.136505,4.911743,0.000000,76154,0.003875
18 11 14 12 13 17 15 11 ,8,8,101,1.587596,12.273742,0.283203,11.990539,0.000000,77467,0.005706
12 12 18 15 11 16 14 11 16 14 18 13 ,8,8,101,1.587596,17.922210,0.410217,17.511962,0.000000,79285,0.005523
16 16 16 17 17 17 17 14 13 16 17 17 14 11 17 14 12 11 17 11 16 15 18 12 13 15 12 12 ,8,8,101,1.587596,43.579162,0.999084,42.580108,0.000000,83729,0.003875
15 11 15 11 13 14 11 ,8,8,101,1.587596,9.953399,0.229919,9.723510,0.000000,84739,0.004882
17 17 16 17 15 12 18 13 17 ,8,8,101,1.587596,14.359680,0.335937,14.023742,0.000000,86255,0.009063
14 13 16 17 14 12 13 ,8,8,101,1.587596,10.782531,0.252929,10.529632,0.000000,87365,0.003875
13 14 ,8,8,101,1.587596,2.625274,0.065765,2.559509,0.000000,87668,0.004150
11 17 ,8,8,101,1.587596,1.828308,0.041412,1.786895,0.000000,87870,0.005950
13 17 17 13 16 16 ,8,8,101,1.587596,9.219055,0.221771,8.997253,0.000000,88880,0.009185
13 ,8,8,101,1.587596,0.039337,0.014831,0.024505,0.000000,88981,0.007080
17 14 13 15 18 11 17 15 18 11 16 16 14 13 12 12 18 11 16 ,8,8,101,1.587596,30.383178,0.702392,29.680786,0.000000,92112,0.009735
12 18 12 ,8,8,101,1.587596,4.172149,0.110321,4.061859,0.000000,92617,0.006622
18 12 18 17 15 11 17 17 14 13 15 13 14 18 ,8,8,101,1.587596,22.140960,0.497650,21.643310,0.000000,94839,0.005493
13 14 11 ,8,8,101,1.587596,3.875305,0.096069,3.779205,0.000000,95243,0.002502
17 17 11 15 18 11 15 18 ,8,8,101,1.587596,11.719055,0.265930,11.453125,0.000000,96455,0.009674
18 13 17 16 16 16 16 14 13 ,8,8,101,1.587596,13.603179,0.323638,13.279541,0.000000,97869,0.003875
15 ,8,8,101,1.587596,0.023712,0.014739,0.008972,0.000000,97970,0.008209
13 15 11 16 15 ,8,8,101,1.587596,7.469055,0.182373,7.286682,0.000000,98778,0.006378
14 12 11 ,8,8,101,1.587596,4.430572,0.105651,4.324920,0.000000,99283,0.003906
13 14 13 15 12 12 18 ,8,8,101,1.587596,11.187805,0.269317,10.918487,0.000000,100495,0.008361
11 15 18 12 12 13 17 ,8,8,101,1.587596,10.344055,0.241333,10.102722,0.000000,101606,0.007781
17 17 17 15 13 15 18 13 15 13 15 18 18 12 11 16 17 14 13 16 15 11 15 ,8,8,101,1.587596,35.500396,0.819946,34.680450,0.000000,105242,0.007415
12 12 11 16 17 16 14 ,8,8,101,1.587596,9.828430,0.230834,9.597595,0.000000,106252,0.009063
14 12 12 18 13 14 12 11 15 13 14 18 18 11 15 12 11 ,8,8,101,1.587596,26.609741,0.611389,25.998352,0.000000,108979,0.004852
17 16 14 ,8,8,101,1.587596,4.617462,0.107421,4.510070,0.000000,109484,0.009552
12 18 11 18 12 18 13 14 11 17 14 18 13 15 ,8,8,101,1.587596,21.734710,0.497650,21.237060,0.000000,111706,0.008422
17 17 16 17 14 18 ,8,8,101,1.587596,8.875305,0.203216,8.672088,0.000000,112615,0.004425
14 11 15 13 ,8,8,101,1.587596,5.484680,0.138610,5.346038,0.000000,113221,0.006988
15 18 12 ,8,8,101,1.587596,3.484649,0.084594,3.400085,0.000000,113625,0.006072
17 14 11 17 17 16 15 13 ,8,8,101,1.587596,11.422729,0.273345,11.149383,0.000000,114837,0.003875
15 ,8,8,101,1.587596,0.765899,0.019714,0.746185,0.000000,114938,0.009002
15 11 17 ,8,8,101,1.587596,3.875274,0.087799,3.787506,0.000000,115342,0.008026
16 15 12 11 16 17 15 11 15 18 13 17 15 13 15 12 13 16 17 14 18 11 14 13 15 13 17 16 15 13 17 15 13 16 17 ,8,8,101,1.587596,55.563751,1.273071,54.290679,0.000000,120998,0.003875
16 ,8,8,101,1.587596,1.359619,0.042755,1.316894,0.000000,121200,0.006561
17 17 14 18 11 15 13 17 16 16 17 15 ,8,8,101,1.587596,17.969055,0.412384,17.556701,0.000000,123018,0.006378
17 16 16 16 ,8,8,101,1.587596,5.304962,0.124664,5.180297,0.000000,123624,0.008880
13 ,8,8,101,1.587596,0.625183,0.020690,0.604522,0.000000,123725,0.006683
17 16 17 ,8,8,101,1.587596,4.750579,0.111358,4.639221,0.000000,124230,0.003875
13 17 16 17 14 12 11 15 12 13 15 14 11 16 14 18 18 18 11 16 15 18 18 ,8,8,101,1.587596,36.687896,0.847351,35.840545,0.000000,127967,0.008850
16 15 18 17 17 14 12 11 ,8,8,101,1.587596,11.578430,0.267944,11.310485,0.000000,129179,0.006072
18 11 16 16 15 11 15 ,8,8,101,1.587596,10.312744,0.245422,10.067321,0.000000,130290,0.005554
14 11 15 11 15 12 13 17 14 12 12 18 17 ,8,8,101,1.587596,19.883148,0.458068,19.425079,0.000000,132310,0.008819
16 ,8,8,101,1.587596,1.601837,0.038940,1.562896,0.000000,132512,0.004455
18 13 17 14 13 14 11 16 16 17 16 17 14 ,8,8,101,1.587596,19.648773,0.455871,19.192901,0.000000,134532,0.007690
12 15 13 ,8,8,101,1.587596,4.086212,0.101593,3.984619,0.000000,135037,0.004577
14 13 16 17 ,8,8,101,1.587596,4.859680,0.118988,4.740661,0.000000,135542,0.009368
13 14 18 11 16 16 15 18 11 16 14 13 ,8,8,101,1.587596,19.172210,0.428680,18.743530,0.000000,137461,0.006927
13 17 16 14 13 ,8,8,101,1.587596,7.906555,0.182495,7.724090,0.000000,138269,0.005126
12 12 11 14 18 13 17 16 15 13 13 14 ,8,8,101,1.587596,18.462432,0.431274,18.031158,0.000000,140188,0.003875
14 12 11 15 ,8,8,101,1.587596,5.125274,0.125701,4.999572,0.000000,140794,0.005279
13 16 17 14 11 15 18 13 17 16 15 11 15 18 13 15 13 16 15 18 12 12 13 14 11 14 13 15 11 15 ,8,8,101,1.587596,47.601989,1.090728,46.511260,0.000000,145642,0.010009
12 11 15 11 17 15 18 16 15 18 11 14 13 14 12 12 18 13 15 18 12 12 ,8,8,101,1.587596,34.586334,0.795410,33.790924,0.000000,149177,0.003936
15 11 14 11 14 ,8,8,101,1.587596,6.523712,0.152832,6.370880,0.000000,149884,0.004333
15 11 ,8,8,101,1.587596,2.750274,0.071533,2.678741,0.000000,150187,0.005615
15 11 17 15 12 18 13 16 15 12 18 11 14 ,8,8,101,1.587596,20.476806,0.466644,20.010162,0.000000,152308,0.006652
13 16 14 18 18 ,8,8,101,1.587596,6.500274,0.155548,6.344726,0.000000,153015,0.007019
11 16 15 13 ,8,8,101,1.587596,5.726867,0.138549,5.588287,0.000000,153621,0.009552
13 16 16 14 12 18 12 13 15 11 14 18 ,8,8,101,1.587596,17.984710,0.406280,17.578430,0.000000,155439,0.009338
15 18 13 15 ,8,8,101,1.587596,6.117492,0.156066,5.961395,0.000000,156146,0.009704
14 ,8,8,101,1.587596,1.140899,0.036224,1.104675,0.000000,156348,0.005340
13 14 13 ,8,8,101,1.587596,4.719024,0.117309,4.601715,0.000000,156853,0.010070
11 17 17 ,8,8,101,1.587596,4.570587,0.108245,4.462341,0.000000,157358,0.006988
15 12 12 18 11 16 14 13 17 18 11 16 16 16 14 18 12 13 17 14 13 17 14 13 15 18 18 12 11 14 18 18 13 14 14 18 11 14 11 16 16 17 16 15 13 15 12 18 11 15 17 16 ,8,8,101,1.587596,82.195861,1.870452,80.325439,0.000000,165640,0.007812
13 ,8,8,101,1.587596,0.219024,0.015930,0.203094,0.000000,165741,0.005676
13 14 ,8,8,101,1.587596,2.148712,0.057830,2.090881,0.000000,166044,0.006896
15 12 13 ,8,8,101,1.587596,4.625335,0.116363,4.509002,0.000000,166549,0.003875
13 17 16 17 ,8,8,101,1.587596,4.828399,0.110260,4.718170,0.000000,167054,0.008514
11 ,8,8,101,1.587596,0.203369,0.016601,0.186798,0.000000,167155,0.006347
12 12 18 ,8,8,101,1.587596,3.664337,0.084808,3.579528,0.000000,167559,0.005462
14 18 13 17 14 18 18 11 15 18 ,8,8,101,1.587596,15.469085,0.362060,15.106994,0.000000,169175,0.009582
12 ,8,8,101,1.587596,1.297149,0.039459,1.257690,0.000000,169377,0.005279
17 ,8,8,101,1.587596,0.922912,0.024536,0.898376,0.000000,169478,0.003875
17 16 17 15 12 13 15 18 ,8,8,101,1.587596,12.297180,0.288116,12.009063,0.000000,170791,0.005981
15 11 ,8,8,101,1.587596,3.101837,0.087036,3.014801,0.000000,171195,0.005065
17 14 18 18 18 13 14 13 16 16 15 12 18 12 11 ,8,8,101,1.587596,23.906585,0.544677,23.361938,0.000000,173619,0.007385
13 15 ,8,8,101,1.587596,2.984649,0.068939,2.915710,0.000000,173922,0.008697
16 15 18 13 15 15 13 14 18 11 14 11 15 18 18 11 16 15 18 13 16 14 18 13 16 15 18 12 11 ,8,8,101,1.587596,45.266052,1.028747,44.237335,0.000000,178467,0.004272
18 11 14 ,8,8,101,1.587596,4.406524,0.103698,4.302825,0.000000,178972,0.008972
16 14 18 11 16 15 11 ,8,8,101,1.587596,10.664367,0.252044,10.412322,0.000000,180083,0.008453
16 15 ,8,8,101,1.587596,2.687774,0.063842,2.623931,0.000000,180386,0.009704
15 12 ,8,8,101,1.587596,2.524444,0.063446,2.460968,0.000000,180689,0.003875
13 17 14 13 14 11 14 12 13 16 13 17 14 12 18 18 11 ,8,8,101,1.587596,25.828460,0.594543,25.233947,0.000000,183315,0.008972
13 16 15 11 14 12 12 12 13 16 17 15 18 ,8,8,101,1.587596,19.226806,0.443054,18.783752,0.000000,185335,0.004425
14 ,8,8,101,1.587596,0.492462,0.018402,0.474029,0.000000,185436,0.010009
12 18 11 16 16 16 14 11 17 17 15 18 11 16 16 17 ,8,8,101,1.587596,25.461303,0.590301,24.871002,0.000000,188062,0.008117
14 12 11 14 ,8,8,101,1.587596,5.493621,0.128509,5.365112,0.000000,188668,0.003906
