scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
13 12 13 ,11,4,101,1.587596,3.669738,0.076965,3.592742,0.000000,36865,0.006072
14 11 ,11,4,101,1.587596,2.054931,0.056854,1.998107,0.000000,37168,0.007415
11 14 13 ,11,4,101,1.587596,4.617431,0.111145,4.506286,0.000000,37673,0.004302
13 14 11 13 13 11 11 ,11,4,101,1.587596,10.859771,0.271301,10.588500,0.000000,38784,0.003875
11 12 ,11,4,101,1.587596,2.562744,0.069458,2.493316,0.000000,39087,0.005004
12 12 ,11,4,101,1.587596,3.195556,0.091125,3.104461,0.000000,39491,0.004119
14 12 12 ,11,4,101,1.587596,3.938415,0.094573,3.843872,0.000000,39895,0.003875
11 ,11,4,101,1.587596,0.984649,0.020935,0.963714,0.000000,39996,0.008850
13 ,11,4,101,1.587596,0.367462,0.016784,0.350677,0.000000,40097,0.006683
13 14 13 ,11,4,101,1.587596,3.875274,0.083374,3.791900,0.000000,40501,0.005767
11 13 12 13 12 11 12 13 14 13 ,11,4,101,1.587596,15.554962,0.342773,15.212188,0.000000,42117,0.009887
14 11 11 14 13 ,11,4,101,1.587596,7.383087,0.191833,7.191253,0.000000,42925,0.008087
14 11 12 14 13 11 14 12 14 11 ,11,4,101,1.587596,14.508087,0.337890,14.170196,0.000000,44440,0.006652
13 ,11,4,101,1.587596,0.164337,0.015563,0.148773,0.000000,44541,0.004394
11 11 ,11,4,101,1.587596,2.133087,0.056945,2.076141,0.000000,44844,0.005676
13 12 12 11 14 13 ,11,4,101,1.587596,8.414337,0.194549,8.219787,0.000000,45753,0.009521
11 14 12 11 11 ,11,4,101,1.587596,6.695587,0.167388,6.528198,0.000000,46460,0.009918
12 14 ,11,4,101,1.587596,1.937744,0.049591,1.888183,0.000000,46662,0.005493
11 13 12 14 12 11 14 12 12 13 ,11,4,101,1.587596,15.125274,0.341369,14.783905,0.000000,48177,0.004058
13 12 ,11,4,101,1.587596,1.648712,0.039489,1.609222,0.000000,48379,0.007507
11 ,11,4,101,1.587596,0.758087,0.019378,0.738708,0.000000,48480,0.005310
14 ,11,4,101,1.587596,1.484558,0.038238,1.446319,0.000000,48682,0.008789
11 13 11 12 11 11 14 13 13 11 13 11 ,11,4,101,1.587596,17.820587,0.425689,17.394897,0.000000,50500,0.008575
12 13 14 14 11 ,11,4,101,1.587596,7.367462,0.176025,7.191436,0.000000,51308,0.006774
14 ,11,4,101,1.587596,1.032989,0.037597,0.995422,0.000000,51510,0.003875
13 14 14 ,11,4,101,1.587596,3.375244,0.079223,3.296020,0.000000,51914,0.009307
14 12 12 ,11,4,101,1.587596,4.086212,0.098449,3.987762,0.000000,52419,0.006225
13 ,11,4,101,1.587596,1.547149,0.040985,1.506164,0.000000,52621,0.009674
14 ,11,4,101,1.587596,0.828369,0.022918,0.805450,0.000000,52722,0.007476
11 13 ,11,4,101,1.587596,2.922149,0.072296,2.849853,0.000000,53025,0.008789
13 11 ,11,4,101,1.587596,2.859619,0.072174,2.787475,0.000000,53328,0.010040
11 13 12 14 ,11,4,101,1.587596,5.554931,0.143981,5.410980,0.000000,53934,0.004730
12 ,11,4,101,1.587596,0.243713,0.018188,0.225524,0.000000,54035,0.003875
