scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
11 12 13 11 12 11 13 13 ,12,4,101,1.587596,11.583801,0.275024,11.308776,0.000000,38077,0.009490
12 13 12 12 ,12,4,101,1.587596,5.312774,0.121337,5.191436,0.000000,38683,0.004150
11 ,12,4,101,1.587596,0.445556,0.018920,0.426635,0.000000,38784,0.009826
11 12 ,12,4,101,1.587596,2.821166,0.071746,2.749420,0.000000,39087,0.003875
14 14 11 ,12,4,101,1.587596,4.148681,0.114868,4.033843,0.000000,39592,0.007995
12 13 12 11 14 14 13 11 11 12 ,12,4,101,1.587596,14.851837,0.337432,14.514434,0.000000,41107,0.006530
12 13 14 13 14 ,12,4,101,1.587596,6.422058,0.146209,6.275848,0.000000,41814,0.006927
13 12 13 14 14 11 12 11 14 11 13 14 14 ,12,4,101,1.587596,20.156524,0.453521,19.703033,0.000000,43834,0.010162
11 13 11 13 13 ,12,4,101,1.587596,6.852996,0.172363,6.680664,0.000000,44541,0.003875
14 14 12 11 12 11 14 11 13 11 ,12,4,101,1.587596,14.992370,0.338745,14.653656,0.000000,46056,0.009094
11 12 11 ,12,4,101,1.587596,3.820587,0.088775,3.731811,0.000000,46460,0.008178
11 14 12 13 14 12 11 12 14 ,12,4,101,1.587596,13.617492,0.320098,13.297393,0.000000,47874,0.008941
12 11 13 14 12 11 11 ,12,4,101,1.587596,9.923309,0.219940,9.703399,0.000000,48884,0.003875
13 14 ,12,4,101,1.587596,1.750274,0.046722,1.703552,0.000000,49086,0.006195
11 13 ,12,4,101,1.587596,2.687744,0.070831,2.616943,0.000000,49389,0.007446
11 11 13 ,12,4,101,1.587596,3.648712,0.080932,3.567779,0.000000,49793,0.006530
11 11 ,12,4,101,1.587596,2.226837,0.057708,2.169128,0.000000,50096,0.007781
12 11 13 12 14 13 13 11 ,12,4,101,1.587596,12.054992,0.280914,11.774047,0.000000,51308,0.005096
14 13 11 11 13 12 12 ,12,4,101,1.587596,10.992462,0.252532,10.739959,0.000000,52419,0.004516
12 13 11 11 14 ,12,4,101,1.587596,6.625274,0.148620,6.476654,0.000000,53126,0.004913
12 ,12,4,101,1.587596,0.540496,0.019134,0.521392,0.000000,53227,0.003875
11 ,12,4,101,1.587596,0.812774,0.020080,0.792663,0.000000,53328,0.008361
12 14 13 ,12,4,101,1.587596,4.258087,0.115722,4.142364,0.000000,53833,0.005218
13 12 12 12 ,12,4,101,1.587596,5.336151,0.132812,5.203308,0.000000,54439,0.007812
14 12 14 12 13 13 13 11 11 ,12,4,101,1.587596,12.899749,0.299743,12.600006,0.000000,55752,0.003906
11 11 14 11 13 14 ,12,4,101,1.587596,9.328399,0.210723,9.117675,0.000000,56762,0.004516
14 13 ,12,4,101,1.587596,2.445587,0.067840,2.377746,0.000000,57065,0.005828
13 11 ,12,4,101,1.587596,2.328369,0.067016,2.261383,0.000000,57368,0.007049
11 12 ,12,4,101,1.587596,2.109649,0.056976,2.052673,0.000000,57671,0.008361
13 ,12,4,101,1.587596,1.008087,0.035186,0.972900,0.000000,57873,0.003967
12 11 11 11 13 14 14 11 13 12 13 13 11 13 14 12 14 11 14 12 14 ,12,4,101,1.587596,32.945648,0.748443,32.197204,0.000000,61206,0.010162
11 ,12,4,101,1.587596,1.281524,0.039459,1.242034,0.000000,61408,0.005767
12 14 13 13 14 11 14 ,12,4,101,1.587596,9.664337,0.231506,9.432830,0.000000,62418,0.007415
14 12 14 ,12,4,101,1.587596,3.719024,0.081787,3.637268,0.000000,62822,0.006500
13 11 13 11 ,12,4,101,1.587596,5.898712,0.143829,5.754882,0.000000,63428,0.009033
14 12 ,12,4,101,1.587596,2.368865,0.068237,2.300628,0.000000,63731,0.003906
11 13 14 11 12 ,12,4,101,1.587596,7.312774,0.164550,7.148223,0.000000,64539,0.008453
14 11 14 13 ,12,4,101,1.587596,6.044525,0.148254,5.896270,0.000000,65145,0.003875
11 13 11 11 14 13 12 ,12,4,101,1.587596,9.664337,0.214172,9.450164,0.000000,66155,0.004821
