scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
15 24 14 23 21 14 25 14 25 16 16 16 26 18 24 ,12,16,101,0.500000,7.216583,0.178558,7.038055,0.000000,48076,0.004608
25 16 19 12 15 16 26 22 21 17 18 26 13 23 22 22 21 11 11 17 18 ,12,16,101,0.500000,10.648712,0.237426,10.411315,0.000000,49187,0.004119
21 11 15 19 12 17 21 17 18 19 20 23 13 12 11 15 24 14 12 11 15 26 22 13 25 24 14 20 25 24 14 20 25 19 ,12,16,101,0.500000,17.125305,0.405853,16.719421,0.000000,50904,0.006072
20 25 24 14 12 17 22 21 11 17 ,12,16,101,0.500000,4.962127,0.113616,4.848510,0.000000,51409,0.003875
21 11 24 17 13 23 22 13 25 24 11 14 12 14 12 14 20 20 12 17 21 17 21 11 17 18 26 13 12 11 11 14 23 22 22 22 22 21 11 11 11 17 22 21 17 22 18 16 16 16 16 16 19 ,12,16,101,0.500000,26.617462,0.634307,25.983184,0.000000,54136,0.006561
23 18 19 20 12 15 24 15 24 17 18 16 16 19 20 20 25 26 21 15 16 24 14 20 12 11 14 23 13 20 23 13 12 15 16 24 15 24 ,12,16,101,0.500000,19.234649,0.456787,18.777893,0.000000,56156,0.009826
24 15 16 24 17 21 14 25 16 16 16 24 14 20 20 20 20 23 21 11 15 19 25 24 17 18 24 15 24 17 18 16 24 11 14 20 12 15 16 19 12 17 21 14 12 11 14 20 23 22 21 15 16 16 19 12 15 26 13 12 14 24 14 23 13 23 18 16 19 12 17 22 18 26 13 25 16 26 18 24 14 25 24 11 11 15 24 15 19 23 13 20 25 23 22 22 18 16 16 24 14 20 12 17 21 17 13 25 16 16 16 26 21 17 21 15 24 15 26 22 22 18 19 20 23 18 26 22 22 22 18 24 14 25 24 17 22 22 14 25 19 20 23 18 26 18 26 22 18 19 20 23 13 12 15 26 21 14 25 19 12 11 14 25 26 21 14 20 25 16 26 22 13 25 26 ,12,16,101,0.500000,88.625305,2.036743,86.588592,0.000000,65044,0.005432
20 25 26 13 25 19 20 12 14 25 24 14 12 11 17 18 19 12 17 13 25 24 19 25 16 26 13 20 12 11 15 19 25 16 19 23 21 11 15 24 15 16 16 26 21 14 12 15 24 11 17 13 20 20 20 20 23 18 26 13 12 17 21 17 13 23 18 16 16 16 24 15 19 20 20 25 26 22 22 18 24 15 24 17 18 24 14 12 14 13 12 14 23 22 18 24 14 12 11 17 22 13 12 17 21 15 19 23 18 26 18 26 13 20 12 14 20 25 26 18 19 23 22 13 12 11 17 18 26 13 20 12 11 14 25 26 18 16 24 15 24 11 11 11 17 18 26 21 15 26 13 12 14 20 20 20 23 18 16 19 12 11 15 16 26 18 26 13 20 23 18 15 24 11 11 14 20 23 22 13 12 17 18 24 15 16 24 14 23 18 26 21 14 23 21 15 26 13 23 21 17 21 15 16 26 13 25 19 23 13 23 22 18 24 11 15 ,12,16,101,0.500000,109.312927,2.528015,106.784942,0.000000,76053,0.009918
18 16 26 18 19 25 16 24 14 23 18 ,12,16,101,0.500000,5.281494,0.141326,5.140197,0.000000,76659,0.004638
24 15 19 20 25 19 25 26 21 14 25 16 16 26 21 14 20 12 14 12 15 26 13 25 19 25 24 17 22 22 13 20 25 12 17 22 18 19 25 26 18 19 20 23 21 17 13 25 19 25 24 15 26 22 13 12 15 24 14 12 15 16 19 25 26 18 24 15 24 14 25 16 24 15 19 23 18 19 25 19 12 17 21 14 25 26 21 ,12,16,101,0.500000,44.009521,1.007690,43.001861,0.000000,81103,0.003875
