slots,scanPeriod (in slotframes),b_avg,SD,modelAvgSyncTime (s),testbedAvgSyncTime (s),testbedCIL,testbedCIU,diffInAvgSyncTime (%), maxDiffInCDF (%)
101,0.5,0.549904,0.0144321,14.1898,14.4054,14.0445,14.7876,1.51946,0.913554
101,2,0.565933,0.0171476,13.2686,13.5364,13.1934,13.887,2.01823,0.74079
101,3.5,0.597468,0.0112738,11.7163,11.6884,11.3881,11.9959,0.238267,1.09763
101,5,0.61385,0.0124985,10.6393,10.7045,10.4297,10.9798,0.613261,0.703814
101,6.5,0.614386,0.0109936,9.8445,9.82728,9.58812,10.0684,0.174927,0.66885
101,9.5,0.587663,0.0154991,9.94134,10.0353,9.76792,10.2925,0.945498,1.15438
101,11,0.603222,0.0168278,9.68401,9.33778,9.10215,9.57402,3.57533,2.39719
101,12.5,0.582738,0.0243062,10.16,10.1447,9.87735,10.4112,0.150227,1.6762
101,14,0.566835,0.0219183,10.4664,10.2613,10.009,10.5255,1.95998,1.26642
101,15.5,0.598531,0.0077915,9.52523,9.32276,9.09995,9.55034,2.12563,2.01018
101,17,0.609565,0.0178319,9.267,9.17526,8.95747,9.39622,0.989976,1.0464
101,18.5,0.620688,0.02383,9.07004,8.94744,8.72263,9.16905,1.35168,1.30808
101,20,0.632226,0.0198351,8.84032,8.79931,8.58818,9.01233,0.463913,1.42741
101,8,0.613644,0.0240363,9.12875,9.07579,8.85074,9.30398,0.58012,1.28835
101,0.992248,0.567827,0.0218586,13.7259,13.8266,13.4746,14.1919,0.733697,1.46524
