scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
12 20 20 13 21 21 19 18 15 22 12 20 20 13 17 17 19 22 17 19 22 18 16 15 12 13 ,8,12,101,1.587596,40.521392,0.924438,39.596954,0.000000,182608,0.006927
13 21 15 19 17 17 18 22 18 ,8,12,101,1.587596,14.148742,0.329772,13.818969,0.000000,184123,0.005432
13 13 21 20 11 15 15 22 18 12 20 20 21 17 21 11 18 21 12 19 11 13 21 22 17 12 14 15 15 20 18 ,8,12,101,1.587596,48.250396,1.094360,47.156036,0.000000,188971,0.010101
13 17 19 20 19 11 ,8,12,101,1.587596,9.398742,0.223419,9.175292,0.000000,189981,0.003875
21 21 15 20 ,8,12,101,1.587596,5.344024,0.138519,5.205505,0.000000,190587,0.006439
20 16 18 21 13 17 17 19 14 19 22 20 12 15 19 22 ,8,12,101,1.587596,24.781585,0.558441,24.223175,0.000000,193112,0.006561
19 ,8,12,101,1.587596,0.414306,0.018463,0.395874,0.000000,193213,0.004394
15 12 14 11 11 17 18 17 21 11 ,8,12,101,1.587596,15.469055,0.360931,15.108123,0.000000,194829,0.008544
15 19 16 16 20 12 15 17 21 21 17 12 22 20 22 17 22 22 20 ,8,12,101,1.587596,29.609741,0.680267,28.929473,0.000000,197859,0.005584
18 15 20 11 ,8,12,101,1.587596,5.437805,0.138549,5.299224,0.000000,198465,0.008178
11 11 17 20 ,8,12,101,1.587596,5.251312,0.125457,5.125854,0.000000,199071,0.003875
11 19 16 21 11 20 11 12 13 17 ,8,12,101,1.587596,15.726867,0.363830,15.363037,0.000000,200687,0.007049
19 14 15 13 12 22 20 20 15 16 20 19 21 16 20 19 22 11 12 ,8,12,101,1.587596,29.851928,0.678833,29.173095,0.000000,203717,0.004089
16 19 14 12 12 22 21 16 15 22 ,8,12,101,1.587596,14.587524,0.346679,14.240844,0.000000,205232,0.003875
11 20 15 16 22 12 ,8,12,101,1.587596,8.187774,0.198455,7.989349,0.000000,206141,0.006378
21 21 15 16 17 20 19 14 19 20 14 14 21 21 19 21 20 ,8,12,101,1.587596,26.172210,0.588470,25.583770,0.000000,208767,0.004394
18 12 11 11 ,8,12,101,1.587596,5.992462,0.135345,5.857116,0.000000,209373,0.006927
16 16 ,8,12,101,1.587596,2.703399,0.067016,2.636413,0.000000,209676,0.008178
22 13 20 21 ,8,12,101,1.587596,5.399658,0.131561,5.268096,0.000000,210282,0.003906
13 20 15 ,8,12,101,1.587596,3.750274,0.090667,3.659637,0.000000,210686,0.009826
12 18 16 12 18 13 22 20 16 19 13 14 20 15 17 14 11 20 15 11 14 18 20 21 20 19 11 11 21 21 22 17 16 18 15 20 22 12 21 11 14 12 13 15 14 11 12 11 12 18 12 16 22 20 11 11 17 14 14 16 19 18 16 21 22 ,8,12,101,1.587596,102.742767,2.324432,100.418365,0.000000,220988,0.006042
22 17 ,8,12,101,1.587596,2.398712,0.065338,2.333374,0.000000,221291,0.007324
17 11 18 16 21 20 21 ,8,12,101,1.587596,10.125305,0.241363,9.883941,0.000000,222402,0.006744
22 20 19 20 20 14 11 16 12 12 12 22 12 16 22 20 20 20 19 21 16 16 11 20 16 12 11 15 17 17 11 20 21 12 16 19 11 12 18 15 16 14 18 13 15 13 13 20 16 12 ,8,12,101,1.587596,79.703643,1.806060,77.897613,0.000000,230381,0.006286
15 21 19 ,8,12,101,1.587596,3.617462,0.082000,3.535461,0.000000,230785,0.005371
21 ,8,12,101,1.587596,0.996490,0.021911,0.974578,0.000000,230886,0.003906
22 20 17 17 12 16 21 18 12 15 16 20 13 21 14 16 19 18 14 20 21 20 21 ,8,12,101,1.587596,36.290527,0.823822,35.466735,0.000000,234522,0.003875
16 20 14 19 22 11 11 18 21 17 11 15 21 20 14 11 17 17 16 ,8,12,101,1.587596,29.601898,0.683227,28.918701,0.000000,237552,0.007659
18 21 17 12 19 12 14 12 14 16 20 19 13 ,8,12,101,1.587596,19.477600,0.452056,19.025543,0.000000,239572,0.003906
21 17 19 19 15 20 18 16 21 12 13 21 16 16 16 18 21 15 16 13 16 20 20 14 20 15 16 11 18 21 17 11 21 14 17 20 12 15 21 15 19 17 21 17 12 22 13 16 11 18 14 11 14 20 17 16 ,8,12,101,1.587596,88.125549,2.002319,86.123260,0.000000,248460,0.006408
19 21 14 18 22 19 11 18 18 21 17 13 22 20 16 ,8,12,101,1.587596,23.250335,0.533996,22.716369,0.000000,250884,0.008758
20 11 14 13 16 13 21 15 21 14 13 13 21 21 13 20 15 22 12 17 21 21 18 16 15 20 11 12 15 11 19 15 18 14 17 ,8,12,101,1.587596,55.039489,1.255767,53.783752,0.000000,256439,0.006011
19 13 17 16 14 15 13 21 15 11 17 11 21 16 16 11 ,8,12,101,1.587596,25.601928,0.585998,25.015930,0.000000,259065,0.003967
15 ,8,12,101,1.587596,0.336181,0.018066,0.318145,0.000000,259166,0.009582
11 19 16 19 ,8,12,101,1.587596,6.390808,0.149261,6.241577,0.000000,259873,0.009918
20 18 15 ,8,12,101,1.587596,4.601837,0.109344,4.492523,0.000000,260378,0.006866
11 14 21 12 22 22 16 11 14 21 13 12 21 ,8,12,101,1.587596,19.320648,0.448242,18.872375,0.000000,262398,0.010101
18 15 14 20 17 16 16 16 12 19 11 17 20 13 16 12 17 12 20 20 18 11 14 14 17 15 21 16 12 14 12 22 17 12 12 16 17 21 15 14 15 17 21 20 ,8,12,101,1.587596,69.391113,1.573516,67.817596,0.000000,269367,0.008026
21 20 18 20 21 13 22 16 16 13 11 15 ,8,12,101,1.587596,18.547210,0.431823,18.115386,0.000000,271286,0.005615
17 19 15 18 22 14 16 19 20 22 22 12 13 12 14 19 11 20 20 ,8,12,101,1.587596,29.015960,0.664794,28.351196,0.000000,274215,0.004882
