scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
14 11 14 ,6,4,101,1.587596,3.388458,0.083801,3.304687,0.000000,38178,0.004211
12 13 13 11 11 11 ,6,4,101,1.587596,9.398590,0.241729,9.156890,0.000000,39188,0.005767
13 ,6,4,101,1.587596,0.539611,0.020233,0.519378,0.000000,39289,0.003906
13 12 13 13 11 12 ,6,4,101,1.587596,9.203369,0.231323,8.972076,0.000000,40299,0.005157
11 13 14 12 11 13 ,6,4,101,1.587596,9.304962,0.203979,9.100982,0.000000,41309,0.006774
11 14 11 13 14 11 11 14 12 ,6,4,101,1.587596,13.875274,0.290405,13.584869,0.000000,42723,0.007415
11 ,6,4,101,1.587596,0.500274,0.018432,0.481842,0.000000,42824,0.005218
13 14 13 13 11 ,6,4,101,1.587596,7.274261,0.164855,7.109405,0.000000,43632,0.003875
11 12 12 13 13 12 12 ,6,4,101,1.587596,10.751403,0.228729,10.522674,0.000000,44743,0.003875
11 ,6,4,101,1.587596,0.414245,0.017364,0.396881,0.000000,44844,0.008392
13 14 14 11 14 13 ,6,4,101,1.587596,8.445587,0.183380,8.262207,0.000000,45753,0.004333
13 14 13 ,6,4,101,1.587596,3.305450,0.079193,3.226287,0.000000,46157,0.003875
13 12 14 ,6,4,101,1.587596,4.281524,0.099334,4.182189,0.000000,46662,0.008087
14 13 14 13 11 14 13 ,6,4,101,1.587596,10.375274,0.224884,10.150390,0.000000,47773,0.007476
13 14 12 14 12 14 ,6,4,101,1.587596,8.375732,0.185119,8.190582,0.000000,48682,0.003875
14 13 13 12 14 13 14 12 ,6,4,101,1.587596,12.734558,0.285949,12.448608,0.000000,49995,0.006256
12 11 13 14 14 ,6,4,101,1.587596,6.554931,0.165802,6.389129,0.000000,50702,0.006561
11 ,6,4,101,1.587596,1.015808,0.039093,0.976715,0.000000,50904,0.010009
14 13 12 12 14 12 12 ,6,4,101,1.587596,10.828369,0.266632,10.561767,0.000000,52015,0.009429
13 12 13 11 11 14 14 ,6,4,101,1.587596,10.625244,0.264892,10.360382,0.000000,53126,0.008819
12 ,6,4,101,1.587596,0.203369,0.016510,0.186889,0.000000,53227,0.006622
14 14 ,6,4,101,1.587596,2.906494,0.073242,2.833282,0.000000,53530,0.007873
13 11 12 ,6,4,101,1.587596,4.336181,0.117126,4.219085,0.000000,54035,0.004730
13 ,6,4,101,1.587596,1.086181,0.040008,1.046203,0.000000,54237,0.008178
11 14 14 13 13 14 14 14 ,6,4,101,1.587596,12.508697,0.316864,12.191833,0.000000,55550,0.003875
12 ,6,4,101,1.587596,0.156494,0.016174,0.140350,0.000000,55651,0.008850
12 13 13 13 11 13 ,6,4,101,1.587596,9.314025,0.243591,9.070465,0.000000,56661,0.003875
13 14 13 ,6,4,101,1.587596,3.961212,0.099548,3.861663,0.000000,57065,0.009521
12 ,6,4,101,1.587596,1.015869,0.035217,0.980682,0.000000,57267,0.005126
12 12 14 14 12 13 ,6,4,101,1.587596,9.586212,0.205871,9.380340,0.000000,58277,0.006774
14 ,6,4,101,1.587596,0.711212,0.019012,0.692199,0.000000,58378,0.004516
11 14 13 12 11 11 ,6,4,101,1.587596,9.570587,0.205444,9.365142,0.000000,59388,0.006134
11 11 11 13 13 13 ,6,4,101,1.587596,8.172149,0.182342,7.989807,0.000000,60297,0.009918
12 ,6,4,101,1.587596,1.109649,0.035827,1.073822,0.000000,60499,0.005462
11 14 11 ,6,4,101,1.587596,4.267395,0.101104,4.166290,0.000000,61004,0.003875
14 13 11 ,6,4,101,1.587596,3.812774,0.082122,3.730651,0.000000,61408,0.009246
12 13 11 ,6,4,101,1.587596,3.656524,0.082031,3.574493,0.000000,61812,0.008331
11 13 13 11 12 ,6,4,101,1.587596,6.594024,0.142639,6.451385,0.000000,62519,0.008605
13 ,6,4,101,1.587596,1.265899,0.036804,1.229064,0.000000,62721,0.004272
11 13 13 ,6,4,101,1.587596,3.821136,0.084442,3.736663,0.000000,63125,0.003906
12 14 13 ,6,4,101,1.587596,3.993927,0.085876,3.908050,0.000000,63529,0.003875
12 ,6,4,101,1.587596,1.031494,0.036010,0.995483,0.000000,63731,0.005828
11 13 ,6,4,101,1.587596,1.797149,0.041809,1.755310,0.000000,63933,0.009277
12 ,6,4,101,1.587596,1.492370,0.038818,1.453552,0.000000,64135,0.004913
13 ,6,4,101,1.587596,1.289337,0.040618,1.248687,0.000000,64337,0.008331
13 11 ,6,4,101,1.587596,2.617462,0.069366,2.548065,0.000000,64640,0.009582
12 13 13 ,6,4,101,1.587596,4.343994,0.115722,4.228271,0.000000,65145,0.006469
12 13 14 14 ,6,4,101,1.587596,4.907012,0.121520,4.785491,0.000000,65650,0.003875
12 ,6,4,101,1.587596,0.468994,0.019134,0.449859,0.000000,65751,0.009033
11 ,6,4,101,1.587596,0.554931,0.020019,0.534942,0.000000,65852,0.006835
11 12 ,6,4,101,1.587596,2.062744,0.063781,1.998962,0.000000,66155,0.008056
13 12 14 11 14 12 13 ,6,4,101,1.587596,9.797119,0.242248,9.554901,0.000000,67165,0.009674
12 11 ,6,4,101,1.587596,2.844787,0.072143,2.772644,0.000000,67468,0.003906
14 ,6,4,101,1.587596,1.328399,0.042205,1.286193,0.000000,67670,0.006561
12 ,6,4,101,1.587596,0.797119,0.022674,0.774475,0.000000,67771,0.004364
13 ,6,4,101,1.587596,1.523620,0.044464,1.479156,0.000000,67973,0.007781
11 14 11 11 ,6,4,101,1.587596,6.406494,0.166473,6.240051,0.000000,68680,0.008117
12 12 ,6,4,101,1.587596,3.017517,0.075286,2.942199,0.000000,68983,0.009368
11 ,6,4,101,1.587596,0.586181,0.020660,0.565551,0.000000,69084,0.007171
14 ,6,4,101,1.587596,1.196655,0.042053,1.154602,0.000000,69286,0.003906
14 14 14 ,6,4,101,1.587596,3.906494,0.097961,3.808563,0.000000,69690,0.009674
14 13 13 12 11 13 13 ,6,4,101,1.587596,10.218994,0.264007,9.955017,0.000000,70801,0.009063
12 11 ,6,4,101,1.587596,2.884429,0.074310,2.810150,0.000000,71104,0.003875
12 11 ,6,4,101,1.587596,3.109619,0.089416,3.020233,0.000000,71508,0.009368
14 ,6,4,101,1.587596,1.484649,0.038421,1.446228,0.000000,71710,0.005004
12 11 14 13 12 11 14 11 11 ,6,4,101,1.587596,14.031524,0.292510,13.739013,0.000000,73124,0.005706
13 ,6,4,101,1.587596,0.235015,0.016387,0.218658,0.000000,73225,0.003875
12 ,6,4,101,1.587596,1.078399,0.035675,1.042724,0.000000,73427,0.006988
11 ,6,4,101,1.587596,0.086212,0.015045,0.071166,0.000000,73528,0.004791
11 14 11 14 11 ,6,4,101,1.587596,7.415313,0.163879,7.251464,0.000000,74336,0.003875
