scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
18 16 24 17 15 26 21 17 13 20 12 15 16 24 15 24 ,7,16,101,1.587596,24.264953,0.505371,23.759582,0.000000,82012,0.003875
12 15 16 ,7,16,101,1.587596,3.601837,0.089477,3.512329,0.000000,82416,0.009307
22 22 18 16 26 18 16 24 14 20 25 19 23 18 21 17 22 21 15 19 20 20 25 24 11 15 16 26 13 25 26 21 11 17 13 20 23 ,7,16,101,1.587596,58.563995,1.341033,57.222991,0.000000,88274,0.007843
23 18 17 22 18 19 12 15 24 11 17 18 24 14 20 25 16 19 25 26 13 23 21 17 13 12 17 22 21 11 14 12 14 12 11 17 21 11 15 26 22 21 11 14 25 19 12 11 14 12 15 14 23 22 21 11 14 25 26 22 13 20 25 ,7,16,101,1.587596,100.484649,2.307281,98.177368,0.000000,98374,0.008636
21 15 ,7,16,101,1.587596,2.570587,0.059600,2.510986,0.000000,98677,0.009887
16 19 20 25 26 13 20 20 23 13 25 16 19 23 18 16 20 12 11 17 18 16 24 14 12 14 12 17 ,7,16,101,1.587596,44.351867,0.997589,43.354278,0.000000,103121,0.007690
11 14 25 24 11 ,7,16,101,1.587596,7.672149,0.165039,7.507110,0.000000,103929,0.005859
14 20 25 19 12 11 15 24 11 14 25 26 18 16 26 21 11 15 ,7,16,101,1.587596,27.633117,0.658233,26.974884,0.000000,106757,0.007293
20 20 20 23 22 22 ,7,16,101,1.587596,9.367462,0.206329,9.161132,0.000000,107767,0.008941
14 23 22 22 21 14 12 14 23 18 24 ,7,16,101,1.587596,17.032318,0.395355,16.636962,0.000000,109484,0.003875
18 24 15 ,7,16,101,1.587596,4.656433,0.119812,4.536621,0.000000,109989,0.007843
23 16 19 12 11 11 17 22 18 19 12 17 21 17 22 21 11 11 14 23 13 20 25 26 13 25 26 21 11 14 14 23 22 18 24 17 13 12 17 13 12 ,7,16,101,1.587596,65.304992,1.465789,63.839233,0.000000,116554,0.006774
24 15 19 12 17 18 18 19 23 22 22 18 26 18 24 14 11 15 19 12 11 15 16 16 16 26 13 12 17 22 13 20 20 ,7,16,101,1.587596,51.720123,1.206420,50.513702,0.000000,121806,0.003875
11 20 23 ,7,16,101,1.587596,3.945587,0.083251,3.862335,0.000000,122210,0.009704
16 26 18 26 22 21 ,7,16,101,1.587596,9.054962,0.188079,8.866882,0.000000,123119,0.005676
