scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
16 19 23 21 14 25 16 26 22 18 24 11 15 24 17 13 23 13 12 15 24 15 24 15 16 16 16 24 14 12 17 21 14 25 16 24 14 20 20 23 18 16 24 15 19 25 26 13 25 24 14 25 24 17 21 15 24 20 12 15 19 23 13 23 22 22 18 19 25 16 24 15 24 15 16 19 23 21 14 23 18 26 22 22 21 14 20 20 23 13 23 13 12 17 22 13 20 23 13 12 14 23 18 24 14 20 20 25 26 21 14 23 21 14 25 19 23 22 18 26 21 17 13 12 15 19 23 13 12 15 26 16 26 13 25 26 18 26 18 19 23 21 15 16 26 13 20 25 16 19 12 11 11 11 15 16 19 23 18 26 18 16 19 20 12 11 14 23 18 24 17 13 23 22 13 12 14 12 14 25 24 15 16 26 18 19 23 21 ,8,16,101,0.500000,95.107513,2.199859,92.907653,0.000000,58479,0.009765
21 19 12 11 15 16 24 17 22 13 25 16 19 25 26 18 19 12 14 20 23 21 11 14 20 12 14 12 15 19 12 15 19 12 14 20 12 14 25 24 15 19 12 17 13 12 17 13 12 11 14 25 19 25 16 11 11 15 16 26 22 18 26 21 ,8,16,101,0.500000,32.072174,0.739868,31.332305,0.000000,61711,0.003906
26 ,8,16,101,0.500000,0.414306,0.018829,0.395507,0.000000,61812,0.008026
22 21 14 23 18 ,8,16,101,0.500000,2.109558,0.065124,2.044433,0.000000,62115,0.009307
17 22 21 15 19 25 16 26 21 17 13 12 17 22 18 19 20 12 17 13 25 24 15 26 22 18 26 22 21 15 26 15 26 18 19 23 21 15 24 15 19 20 12 17 22 22 18 26 13 25 16 19 23 21 14 12 14 25 26 21 17 22 13 23 13 20 12 17 13 12 11 11 15 19 25 26 21 20 20 23 22 22 18 26 21 17 21 11 15 19 25 19 20 23 21 17 18 26 13 25 26 22 ,8,16,101,0.500000,51.523864,1.195037,50.328826,0.000000,67367,0.005218
14 12 15 26 21 14 12 15 19 12 17 13 12 14 12 11 11 17 22 22 13 12 17 13 12 15 16 26 13 12 14 23 13 20 21 15 26 18 26 18 16 26 18 26 13 23 21 17 21 11 17 22 13 12 11 14 25 19 ,8,16,101,0.500000,29.219085,0.676147,28.542968,0.000000,70296,0.004425
17 21 11 15 26 11 14 20 25 24 15 26 22 13 25 26 21 14 25 26 21 15 24 11 17 21 15 24 14 12 11 15 19 25 19 25 16 24 17 13 25 16 24 15 19 20 12 15 ,8,16,101,0.500000,24.351898,0.569488,23.782409,0.000000,72821,0.004608
22 21 14 12 17 13 20 20 20 12 14 23 22 18 26 21 11 11 11 15 16 16 16 16 26 13 23 18 26 13 25 24 17 18 24 17 18 16 16 26 18 24 15 19 23 13 23 13 12 17 13 12 14 23 22 13 23 21 11 17 21 14 20 25 26 18 26 13 23 18 14 12 14 12 15 19 20 12 11 11 11 17 21 15 16 26 13 12 11 17 13 20 25 24 17 18 19 25 16 16 26 18 26 21 11 17 18 19 23 13 12 15 26 21 17 22 ,8,16,101,0.500000,58.548156,1.356323,57.191802,0.000000,78679,0.003875
12 15 24 11 11 15 16 24 15 16 26 22 22 21 14 25 16 24 17 18 24 17 21 14 23 22 21 17 13 12 15 24 12 11 17 13 25 19 23 18 19 25 16 26 18 24 15 19 20 12 17 13 25 16 26 22 22 21 15 19 23 21 11 14 25 26 18 19 20 25 24 17 13 23 13 23 13 20 25 26 13 12 15 24 11 17 13 23 21 14 20 20 23 13 12 17 22 24 17 13 23 21 11 11 14 23 21 14 25 26 21 15 16 19 23 21 11 14 23 22 18 19 12 15 19 25 16 16 19 23 13 20 25 16 16 26 22 13 23 13 25 24 17 13 23 21 17 13 20 23 22 21 14 20 20 12 17 13 23 21 11 15 16 24 17 13 12 14 23 22 22 18 24 11 14 20 23 18 24 11 17 22 13 23 18 16 26 18 16 26 21 14 25 16 16 19 20 20 20 25 24 15 19 20 25 26 13 25 24 17 13 20 23 19 23 21 11 14 12 11 17 13 23 13 23 18 24 15 26 18 19 20 25 19 20 12 17 21 14 20 25 16 24 15 19 25 24 11 15 24 15 26 22 13 20 12 14 20 20 12 15 16 16 24 14 20 25 24 14 23 22 13 20 23 22 18 16 16 24 15 24 11 17 22 18 16 24 17 21 17 22 21 17 14 20 23 13 20 25 24 14 12 15 26 21 11 15 26 13 20 20 20 23 13 23 22 13 23 22 22 21 14 25 16 16 16 16 24 14 20 23 21 14 23 18 19 12 15 24 17 18 16 24 15 24 14 12 11 17 22 ,8,16,101,0.500000,177.688354,4.091339,173.597015,0.000000,96455,0.009735
23 21 11 11 14 20 20 20 25 19 20 12 14 23 21 14 12 14 23 22 21 17 18 ,8,16,101,0.500000,11.351837,0.278045,11.073822,0.000000,97667,0.006958
25 24 15 19 23 13 12 11 11 17 18 25 19 25 26 18 24 11 17 21 15 24 17 13 12 15 26 22 22 13 12 17 18 19 25 16 24 11 17 22 18 26 21 17 21 15 26 25 26 21 14 23 13 20 25 19 25 26 22 18 26 18 19 12 15 19 23 21 17 13 25 26 13 20 25 19 12 15 23 13 23 13 25 16 19 12 17 18 19 25 19 23 13 23 21 14 20 12 14 12 11 15 19 25 26 22 18 24 14 12 11 14 25 19 12 14 20 12 15 19 20 25 16 26 13 20 25 26 22 13 12 14 25 16 19 20 12 14 25 16 16 19 12 14 20 25 19 25 24 11 14 25 19 25 24 17 13 12 11 14 15 26 18 16 26 22 22 ,8,16,101,0.500000,84.383789,1.953460,82.430358,0.000000,106151,0.003875
18 19 23 22 21 15 19 23 22 13 20 25 24 17 18 26 22 18 16 19 23 13 23 18 24 17 13 23 13 12 11 14 25 24 11 17 21 14 25 19 23 21 14 25 24 15 26 18 16 19 25 19 25 24 11 17 13 12 15 16 24 15 19 20 12 15 26 22 18 16 19 23 22 18 16 24 14 12 14 25 16 26 15 24 11 17 18 26 21 14 ,8,16,101,0.500000,45.594177,1.061614,44.532562,0.000000,110797,0.004608
19 12 15 24 15 26 18 24 17 13 12 11 15 19 25 26 13 23 21 14 25 19 23 13 23 22 21 14 12 19 23 21 11 11 15 26 18 24 ,8,16,101,0.500000,19.062835,0.438934,18.623901,0.000000,112716,0.010040
23 13 12 11 17 13 23 13 20 23 21 15 19 23 22 18 24 15 24 11 17 21 14 23 21 11 17 13 23 18 26 18 24 14 23 13 25 19 23 13 20 12 17 21 15 19 12 17 22 18 24 11 15 16 24 17 22 22 22 18 19 12 15 24 15 16 16 24 17 21 11 14 23 18 26 13 23 21 ,8,16,101,0.500000,39.337158,0.912261,38.424865,0.000000,116655,0.003906
23 18 24 11 ,8,16,101,0.500000,1.640808,0.045562,1.595245,0.000000,116857,0.006530
