channels,slots,scanPeriod,pEB,pSR,avgSyncTime,avgSyncTimeCILow,avgSyncTimeCIHigh,avgEnergyConsumption,avgEnergyConsumptionCILow,avgEnergyConsumptionCIHigh,CDF(1),CDF(2),CDF(3),CDF(4),CDF(5),CDF(6),CDF(7),CDF(8),CDF(9),CDF(10),CDF(11),CDF(12),CDF(13),CDF(14),CDF(15),CDF(16),CDF(17),CDF(18),CDF(19),CDF(20),CDF(21),CDF(22),CDF(23),CDF(24),CDF(25),CDF(26),CDF(27),CDF(28),CDF(29),CDF(30),CDF(31),CDF(32),CDF(33),CDF(34),CDF(35),CDF(36),CDF(37),CDF(38),CDF(39),CDF(40),CDF(41),CDF(42),CDF(43),CDF(44),CDF(45),CDF(46),CDF(47),CDF(48),CDF(49),CDF(50),CDF(51),CDF(52),CDF(53),CDF(54),CDF(55),CDF(56),CDF(57),CDF(58),CDF(59),CDF(60),CDF(61),CDF(62),CDF(63),CDF(64),CDF(65),CDF(66),CDF(67),CDF(68),CDF(69),CDF(70),CDF(71),CDF(72),CDF(73),CDF(74),CDF(75),CDF(76),CDF(77),CDF(78),CDF(79),CDF(80),CDF(81),CDF(82),CDF(83),CDF(84),CDF(85),CDF(86),CDF(87),CDF(88),CDF(89),CDF(90),CDF(91),CDF(92),CDF(93),CDF(94),CDF(95),CDF(96),CDF(97),CDF(98),CDF(99),CDF(100),CDF(101),CDF(102),CDF(103),CDF(104),CDF(105),CDF(106),CDF(107),CDF(108),CDF(109),CDF(110),CDF(111),CDF(112),CDF(113),CDF(114),CDF(115),CDF(116),CDF(117),CDF(118),CDF(119),CDF(120),CDF(121),CDF(122),CDF(123),CDF(124),CDF(125),CDF(126),CDF(127),CDF(128),CDF(129),CDF(130),CDF(131),CDF(132),CDF(133),CDF(134),CDF(135),CDF(136),CDF(137),CDF(138),CDF(139),CDF(140),CDF(141),CDF(142),CDF(143),CDF(144),CDF(145),CDF(146),CDF(147),CDF(148),CDF(149),CDF(150),CDF(151)
8.0,101.0,0.5,0.6275439806829941,"{16: 0.8779661016949153, 12: 0.8608058608058609, 15: 0.9023199023199023, 11: 0.8662790697674418, 14: 0.8622222222222222, 13: 0.863905325443787, 17: 0.8895348837209303, 18: 0.8872093023255814}",14.405439090166668,14.044474160333333,14.787557893166666,1.0912183216914533,1.063557691558472,1.1193175031072866,0.0755,0.13766666666666666,0.19416666666666665,0.2505,0.30266666666666664,0.35,0.39016666666666666,0.43,0.465,0.5036666666666667,0.534,0.5685,0.5958333333333333,0.6261666666666666,0.6528333333333334,0.6761666666666667,0.698,0.7173333333333334,0.735,0.7551666666666667,0.7716666666666666,0.788,0.8028333333333333,0.8166666666666667,0.83,0.8428333333333333,0.8523333333333334,0.8601666666666666,0.8708333333333333,0.8793333333333333,0.8875,0.896,0.9035,0.9096666666666666,0.9156666666666666,0.9208333333333333,0.9263333333333333,0.9305,0.934,0.9361666666666667,0.941,0.9451666666666667,0.9491666666666667,0.9531666666666667,0.9558333333333333,0.9575,0.9598333333333333,0.9631666666666666,0.9648333333333333,0.9678333333333333,0.9703333333333334,0.9725,0.9746666666666667,0.9765,0.9783333333333334,0.9803333333333333,0.981,0.9821666666666666,0.9831666666666666,0.9843333333333333,0.9853333333333333,0.9861666666666666,0.987,0.9876666666666667,0.988,0.9896666666666667,0.9903333333333333,0.9906666666666667,0.9915,0.9925,0.9926666666666667,0.9928333333333333,0.9931666666666666,0.9936666666666667,0.994,0.9946666666666667,0.9951666666666666,0.9955,0.9958333333333333,0.9961666666666666,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9968333333333333,0.997,0.997,0.997,0.9975,0.9976666666666667,0.9976666666666667,0.9976666666666667,0.9978333333333333,0.998,0.9981666666666666,0.9981666666666666,0.9983333333333333,0.9983333333333333,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9988333333333334,0.999,0.999,0.999,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9993333333333333,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,2.0,0.6439250865596474,"{16: 0.8943488943488943, 12: 0.8567961165048543, 15: 0.8995157384987893, 11: 0.8681818181818182, 14: 0.8502358490566038, 13: 0.8826237054085155, 17: 0.8866886688668867, 18: 0.8926487747957993}",13.536396259166667,13.193430264166668,13.8869868715,1.025300590620866,0.9989647358954533,1.0517537175866465,0.07366666666666667,0.143,0.20583333333333334,0.262,0.30866666666666664,0.36183333333333334,0.4056666666666667,0.45116666666666666,0.4881666666666667,0.5273333333333333,0.5636666666666666,0.5963333333333334,0.6238333333333334,0.6491666666666667,0.6731666666666667,0.698,0.7225,0.7416666666666667,0.7613333333333333,0.7776666666666666,0.793,0.8088333333333333,0.8233333333333334,0.838,0.849,0.8615,0.872,0.8786666666666667,0.8868333333333334,0.8956666666666667,0.9033333333333333,0.9096666666666666,0.9146666666666666,0.9223333333333333,0.9278333333333333,0.9321666666666667,0.9388333333333333,0.9441666666666667,0.9486666666666667,0.9516666666666667,0.9556666666666667,0.9581666666666667,0.96,0.9623333333333334,0.9651666666666666,0.967,0.9695,0.9721666666666666,0.9733333333333334,0.9745,0.9761666666666666,0.978,0.979,0.981,0.9823333333333333,0.9836666666666667,0.9848333333333333,0.9865,0.9873333333333333,0.9883333333333333,0.9893333333333333,0.9903333333333333,0.9905,0.9911666666666666,0.9911666666666666,0.9918333333333333,0.9918333333333333,0.9928333333333333,0.993,0.9931666666666666,0.9933333333333333,0.9933333333333333,0.9938333333333333,0.9941666666666666,0.9941666666666666,0.9946666666666667,0.9948333333333333,0.9955,0.9958333333333333,0.996,0.9961666666666666,0.9963333333333333,0.9963333333333333,0.9965,0.9968333333333333,0.997,0.997,0.9971666666666666,0.9973333333333333,0.9973333333333333,0.9973333333333333,0.9975,0.9975,0.9978333333333333,0.9978333333333333,0.9978333333333333,0.998,0.998,0.9981666666666666,0.9981666666666666,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9985,0.9986666666666667,0.9988333333333334,0.999,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,3.5,0.6530338585316795,"{16: 0.9261083743842364, 12: 0.903387703889586, 15: 0.9330759330759331, 11: 0.9013732833957553, 14: 0.9047619047619048, 13: 0.9201430274135876, 17: 0.9227941176470589, 18: 0.9076396807297605}",11.688401602166666,11.388131207333334,11.995912660166665,0.8854179930865822,0.862819384045213,0.908823481161891,0.0715,0.146,0.21983333333333333,0.2946666666666667,0.35233333333333333,0.4038333333333333,0.466,0.5063333333333333,0.5456666666666666,0.5871666666666666,0.6248333333333334,0.6526666666666666,0.6836666666666666,0.714,0.734,0.7538333333333334,0.7741666666666667,0.7933333333333333,0.8093333333333333,0.8278333333333333,0.8408333333333333,0.8516666666666667,0.8603333333333333,0.872,0.8806666666666667,0.8911666666666667,0.9005,0.9098333333333334,0.916,0.9235,0.9295,0.9365,0.9408333333333333,0.9463333333333334,0.9523333333333334,0.9543333333333334,0.9586666666666667,0.9608333333333333,0.964,0.9673333333333334,0.9701666666666666,0.973,0.975,0.9766666666666667,0.9786666666666667,0.9805,0.9811666666666666,0.9818333333333333,0.9838333333333333,0.9853333333333333,0.9866666666666667,0.9881666666666666,0.989,0.9898333333333333,0.9901666666666666,0.9908333333333333,0.992,0.993,0.9935,0.9943333333333333,0.9946666666666667,0.9948333333333333,0.9953333333333333,0.9953333333333333,0.9958333333333333,0.9958333333333333,0.9958333333333333,0.9963333333333333,0.9966666666666667,0.9968333333333333,0.9968333333333333,0.9975,0.9976666666666667,0.9976666666666667,0.9978333333333333,0.998,0.9981666666666666,0.9985,0.9986666666666667,0.9988333333333334,0.999,0.999,0.999,0.999,0.999,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,5.0,0.6666940654282426,"{16: 0.9492325855962219, 12: 0.9156908665105387, 15: 0.9163449163449163, 11: 0.9182389937106918, 14: 0.9178743961352657, 13: 0.9299610894941635, 17: 0.9053549190535491, 18: 0.9131985731272295}",10.704502011666666,10.429696487666668,10.97981585,0.8109214154124758,0.7912376558462214,0.8315031361710017,0.07766666666666666,0.15716666666666668,0.2285,0.30783333333333335,0.3863333333333333,0.43033333333333335,0.4756666666666667,0.5185,0.5665,0.6176666666666667,0.6471666666666667,0.677,0.7071666666666667,0.736,0.7633333333333333,0.7771666666666667,0.7988333333333333,0.8181666666666667,0.8373333333333334,0.8553333333333333,0.8665,0.8775,0.8906666666666667,0.9028333333333334,0.9118333333333334,0.9175,0.9258333333333333,0.9315,0.9386666666666666,0.9458333333333333,0.9483333333333334,0.9531666666666667,0.959,0.9625,0.9673333333333334,0.9695,0.9713333333333334,0.9743333333333334,0.9768333333333333,0.9793333333333333,0.981,0.982,0.9835,0.9846666666666667,0.9861666666666666,0.9878333333333333,0.9886666666666667,0.9896666666666667,0.99,0.9913333333333333,0.9923333333333333,0.9928333333333333,0.9938333333333333,0.9943333333333333,0.9948333333333333,0.995,0.9955,0.9958333333333333,0.9961666666666666,0.9965,0.9966666666666667,0.9968333333333333,0.9971666666666666,0.9975,0.9975,0.9976666666666667,0.9976666666666667,0.9978333333333333,0.9978333333333333,0.9978333333333333,0.9978333333333333,0.9978333333333333,0.9981666666666666,0.9981666666666666,0.9981666666666666,0.9981666666666666,0.9983333333333333,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.999,0.999,0.999,0.9993333333333333,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,6.5,0.6598169573476084,"{16: 0.9406451612903226, 12: 0.9216646266829865, 15: 0.9415347137637028, 11: 0.9261083743842364, 14: 0.9336609336609336, 13: 0.9259259259259259, 17: 0.9473684210526315, 18: 0.9122596153846154}",9.827282933333333,9.588120172,10.068444121333334,0.7445078360605474,0.7264517725907478,0.7626272183306854,0.0735,0.14766666666666667,0.23,0.31083333333333335,0.381,0.457,0.518,0.5538333333333333,0.5956666666666667,0.635,0.6773333333333333,0.7151666666666666,0.7551666666666667,0.7765,0.7931666666666667,0.8135,0.8328333333333333,0.8518333333333333,0.8706666666666667,0.886,0.8946666666666667,0.9053333333333333,0.9148333333333334,0.9216666666666666,0.9291666666666667,0.9358333333333333,0.9405,0.9438333333333333,0.9491666666666667,0.9541666666666667,0.9595,0.9631666666666666,0.968,0.971,0.974,0.9768333333333333,0.978,0.9811666666666666,0.9838333333333333,0.9851666666666666,0.9865,0.9875,0.9883333333333333,0.9901666666666666,0.9911666666666666,0.9916666666666667,0.9923333333333333,0.993,0.9935,0.9941666666666666,0.9953333333333333,0.996,0.9961666666666666,0.9961666666666666,0.997,0.997,0.9973333333333333,0.9978333333333333,0.998,0.9981666666666666,0.9983333333333333,0.9986666666666667,0.9988333333333334,0.999,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,9.5,0.6509468993687337,"{16: 0.9230769230769231, 12: 0.8782816229116945, 15: 0.905852417302799, 11: 0.900355871886121, 14: 0.9286624203821656, 13: 0.8895348837209303, 17: 0.9002320185614849, 18: 0.8962605548854041}",10.035334372,9.767917319,10.292466954833333,0.760254701064554,0.7405043869748097,0.7803272129971944,0.08116666666666666,0.154,0.227,0.30316666666666664,0.37883333333333336,0.448,0.5205,0.5971666666666666,0.6265,0.654,0.679,0.7076666666666667,0.732,0.7603333333333333,0.7901666666666667,0.8141666666666667,0.8376666666666667,0.8561666666666666,0.865,0.8743333333333333,0.8871666666666667,0.897,0.9065,0.9148333333333334,0.9235,0.932,0.9408333333333333,0.9443333333333334,0.947,0.9496666666666667,0.9516666666666667,0.9566666666666667,0.9615,0.964,0.9675,0.9703333333333334,0.9731666666666666,0.9748333333333333,0.9768333333333333,0.9778333333333333,0.979,0.9805,0.9816666666666667,0.9828333333333333,0.9843333333333333,0.9853333333333333,0.9865,0.9873333333333333,0.9885,0.9898333333333333,0.9911666666666666,0.9928333333333333,0.9931666666666666,0.994,0.9951666666666666,0.9956666666666667,0.9956666666666667,0.996,0.9961666666666666,0.9966666666666667,0.9966666666666667,0.9968333333333333,0.997,0.9975,0.9975,0.9978333333333333,0.998,0.9981666666666666,0.9981666666666666,0.9981666666666666,0.9981666666666666,0.9983333333333333,0.9985,0.9985,0.9985,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9988333333333334,0.999,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,11.0,0.650776836158192,"{16: 0.954653937947494, 12: 0.9187817258883249, 15: 0.9415760869565217, 11: 0.9214195183776933, 14: 0.9274809160305344, 13: 0.8982248520710059, 17: 0.9131985731272295, 18: 0.9400705052878966}",9.337776627666667,9.102152083166667,9.574024757,0.7074411554273089,0.6895806340910572,0.7252609588478797,0.07433333333333333,0.15533333333333332,0.23383333333333334,0.315,0.392,0.4691666666666667,0.5503333333333333,0.6216666666666667,0.6541666666666667,0.687,0.715,0.735,0.7565,0.7801666666666667,0.8016666666666666,0.8228333333333333,0.8463333333333334,0.8698333333333333,0.8888333333333334,0.8993333333333333,0.9071666666666667,0.9163333333333333,0.9205,0.928,0.9345,0.9396666666666667,0.9448333333333333,0.9501666666666667,0.9576666666666667,0.9648333333333333,0.9671666666666666,0.9706666666666667,0.973,0.9746666666666667,0.9761666666666666,0.978,0.9808333333333333,0.9831666666666666,0.9851666666666666,0.9873333333333333,0.9883333333333333,0.9893333333333333,0.9896666666666667,0.9898333333333333,0.991,0.9913333333333333,0.9921666666666666,0.9925,0.9933333333333333,0.9941666666666666,0.9948333333333333,0.9961666666666666,0.9965,0.9966666666666667,0.9968333333333333,0.9973333333333333,0.9973333333333333,0.9973333333333333,0.9975,0.9976666666666667,0.9976666666666667,0.998,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9985,0.9986666666666667,0.9986666666666667,0.9988333333333334,0.9988333333333334,0.999,0.999,0.999,0.999,0.999,0.999,0.9991666666666666,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9995,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,12.5,0.6494800693240901,"{16: 0.9281288723667905, 12: 0.8558673469387755, 15: 0.9177215189873418, 11: 0.8831018518518519, 14: 0.9186813186813186, 13: 0.8698710433763188, 17: 0.8927294398092968, 18: 0.9117997616209773}",10.144702045333332,9.8773536785,10.411222626833332,0.7685303813508054,0.7486778573421087,0.7888094637416077,0.0755,0.15566666666666668,0.22933333333333333,0.30383333333333334,0.37883333333333336,0.4523333333333333,0.5263333333333333,0.5995,0.6291666666666667,0.6556666666666666,0.6845,0.7125,0.7383333333333333,0.7573333333333333,0.7793333333333333,0.7983333333333333,0.817,0.8341666666666666,0.8535,0.8723333333333333,0.8843333333333333,0.8921666666666667,0.901,0.9076666666666666,0.915,0.9216666666666666,0.927,0.9326666666666666,0.9396666666666667,0.9443333333333334,0.9501666666666667,0.9561666666666667,0.9623333333333334,0.9645,0.967,0.9703333333333334,0.9725,0.9746666666666667,0.9761666666666666,0.9786666666666667,0.9808333333333333,0.9823333333333333,0.9845,0.9855,0.987,0.9881666666666666,0.9891666666666666,0.9893333333333333,0.9903333333333333,0.9913333333333333,0.9918333333333333,0.9925,0.9931666666666666,0.9935,0.9938333333333333,0.9945,0.995,0.9953333333333333,0.9953333333333333,0.9953333333333333,0.9956666666666667,0.9958333333333333,0.9961666666666666,0.9965,0.9968333333333333,0.9968333333333333,0.997,0.9975,0.9976666666666667,0.9981666666666666,0.9985,0.9988333333333334,0.999,0.999,0.999,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9995,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,101.0,14.0,0.6397289704181127,"{16: 0.904126213592233, 12: 0.8726635514018691, 15: 0.9129955947136564, 11: 0.8657718120805369, 14: 0.8897911832946636, 13: 0.8474204171240395, 17: 0.8834080717488789, 18: 0.912258064516129}",10.2612784635,10.009027999999999,10.5255099325,0.7773524723377919,0.7576888593853538,0.797573858906531,0.075,0.14633333333333334,0.21966666666666668,0.29283333333333333,0.3641666666666667,0.43283333333333335,0.5031666666666667,0.579,0.61,0.6395,0.6715,0.7018333333333333,0.7306666666666667,0.7621666666666667,0.7766666666666666,0.7943333333333333,0.8085,0.828,0.8466666666666667,0.862,0.879,0.898,0.9041666666666667,0.9101666666666667,0.9188333333333333,0.9258333333333333,0.9331666666666667,0.941,0.9473333333333334,0.9511666666666667,0.9548333333333333,0.9588333333333333,0.9631666666666666,0.9666666666666667,0.9715,0.9745,0.9763333333333334,0.9778333333333333,0.9796666666666667,0.9813333333333333,0.9838333333333333,0.9861666666666666,0.9865,0.9875,0.988,0.9888333333333333,0.9901666666666666,0.9906666666666667,0.9915,0.9928333333333333,0.9936666666666667,0.994,0.9948333333333333,0.9951666666666666,0.9955,0.9958333333333333,0.996,0.9965,0.9966666666666667,0.9966666666666667,0.997,0.9971666666666666,0.9973333333333333,0.9975,0.9978333333333333,0.9978333333333333,0.998,0.9981666666666666,0.9981666666666666,0.9985,0.9985,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.999,0.999,0.999,0.999,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0
8.0,101.0,15.5,0.6567331778526388,"{16: 0.915, 12: 0.9106280193236715, 15: 0.8988372093023256, 11: 0.9155609167671894, 14: 0.9209876543209876, 13: 0.9193742478941035, 17: 0.8995098039215687, 18: 0.9111111111111111}",9.3227570535,9.099949350166666,9.550340781833334,0.7063014016729822,0.6890400692021249,0.7240017798937369,0.07966666666666666,0.157,0.233,0.31366666666666665,0.39016666666666666,0.469,0.5368333333333334,0.6126666666666667,0.6441666666666667,0.6748333333333333,0.702,0.7315,0.7628333333333334,0.7903333333333333,0.8203333333333334,0.8383333333333334,0.8491666666666666,0.8605,0.8753333333333333,0.8876666666666667,0.9,0.9108333333333334,0.9241666666666667,0.9328333333333333,0.9383333333333334,0.9431666666666667,0.9498333333333333,0.9548333333333333,0.9606666666666667,0.9646666666666667,0.9703333333333334,0.9718333333333333,0.9738333333333333,0.9758333333333333,0.9776666666666667,0.9791666666666666,0.9813333333333333,0.9846666666666667,0.9856666666666667,0.9868333333333333,0.9873333333333333,0.9873333333333333,0.9886666666666667,0.9898333333333333,0.9916666666666667,0.9931666666666666,0.994,0.9943333333333333,0.995,0.9953333333333333,0.9955,0.9958333333333333,0.9965,0.9973333333333333,0.9976666666666667,0.9978333333333333,0.998,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9986666666666667,0.9988333333333334,0.9988333333333334,0.9991666666666666,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9995,0.9995,0.9995,0.9995,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
