scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
19 ,10,12,101,1.587596,0.888488,0.019958,0.868499,0.000000,179881,0.005493
21 ,10,12,101,1.587596,0.735260,0.022613,0.712646,0.000000,179982,0.003875
17 11 ,10,12,101,1.587596,2.156494,0.060058,2.096435,0.000000,180285,0.004516
14 18 ,10,12,101,1.587596,1.820556,0.044281,1.776275,0.000000,180487,0.007995
18 22 12 12 19 14 13 11 17 11 18 20 21 19 11 18 18 20 17 22 13 ,10,12,101,1.587596,33.046813,0.753356,32.293457,0.000000,183820,0.006103
15 ,10,12,101,1.587596,1.523681,0.039642,1.484039,0.000000,184022,0.009552
13 22 15 12 17 14 11 13 18 13 15 18 17 ,10,12,101,1.587596,20.602783,0.475006,20.127777,0.000000,186143,0.003906
18 15 15 14 18 18 16 17 ,10,12,101,1.587596,12.086090,0.274902,11.811187,0.000000,187355,0.007751
11 18 17 17 21 12 19 ,10,12,101,1.587596,9.695495,0.224761,9.470703,0.000000,188365,0.009307
18 15 13 17 22 19 21 16 12 13 21 17 21 19 17 17 ,10,12,101,1.587596,25.382843,0.587188,24.795654,0.000000,190991,0.007171
15 21 13 22 22 18 15 15 16 15 ,10,12,101,1.587596,14.953247,0.342468,14.610778,0.000000,192506,0.005645
16 ,10,12,101,1.587596,1.117431,0.036499,1.080963,0.000000,192708,0.009063
21 14 ,10,12,101,1.587596,1.898681,0.046386,1.852294,0.000000,192910,0.004669
15 19 ,10,12,101,1.587596,2.523681,0.065429,2.458251,0.000000,193213,0.005950
16 14 12 22 19 17 20 13 22 14 13 13 19 21 22 17 ,10,12,101,1.587596,25.359466,0.589874,24.769592,0.000000,195839,0.003875
13 ,10,12,101,1.587596,0.508087,0.017883,0.490203,0.000000,195940,0.009460
21 12 20 21 15 18 14 12 17 16 ,10,12,101,1.587596,15.906372,0.362976,15.543395,0.000000,197556,0.005767
18 11 20 16 14 20 22 17 14 ,10,12,101,1.587596,13.328247,0.313140,13.015136,0.000000,198970,0.006378
17 13 19 13 11 ,10,12,101,1.587596,6.867370,0.158843,6.708526,0.000000,199677,0.006713
22 11 18 18 22 19 11 19 17 16 ,10,12,101,1.587596,14.757934,0.337066,14.420867,0.000000,201192,0.005218
13 15 19 15 21 22 12 11 20 20 ,10,12,101,1.587596,15.039459,0.343048,14.696411,0.000000,202707,0.003906
12 14 13 ,10,12,101,1.587596,4.750213,0.112182,4.638061,0.000000,203212,0.008331
21 15 ,10,12,101,1.587596,1.875244,0.043090,1.832153,0.000000,203414,0.003997
19 21 13 18 11 19 13 17 19 14 17 13 14 16 17 16 ,10,12,101,1.587596,25.460968,0.585449,24.875518,0.000000,206040,0.009643
17 18 14 11 17 22 19 13 13 22 13 11 15 13 12 20 22 18 16 22 12 13 15 22 18 14 17 ,10,12,101,1.587596,43.148284,0.979522,42.168792,0.000000,210383,0.009368
17 19 14 15 15 12 19 ,10,12,101,1.587596,9.696197,0.227050,9.469177,0.000000,211393,0.003875
15 18 11 ,10,12,101,1.587596,3.531463,0.087982,3.443481,0.000000,211797,0.010040
12 19 20 19 17 12 16 16 15 22 22 18 12 19 22 20 19 18 16 22 14 12 16 11 18 14 18 16 15 11 18 ,10,12,101,1.587596,49.523254,1.132629,48.390625,0.000000,216847,0.010101
22 11 15 14 16 21 15 16 ,10,12,101,1.587596,12.242340,0.290466,11.951873,0.000000,218160,0.005157
18 22 11 17 19 19 11 13 13 14 14 20 15 21 18 18 16 17 11 18 13 21 22 12 12 11 19 22 14 22 13 19 17 22 20 19 20 13 18 20 ,10,12,101,1.587596,62.632507,1.431488,61.201019,0.000000,224523,0.008117
18 15 18 15 19 21 14 14 17 22 12 15 ,10,12,101,1.587596,18.820404,0.430908,18.389495,0.000000,226442,0.005615
13 17 21 22 ,10,12,101,1.587596,6.047088,0.138458,5.908630,0.000000,227048,0.008117
12 20 11 22 14 17 17 13 19 22 16 20 18 19 18 22 21 19 15 ,10,12,101,1.587596,29.539062,0.678985,28.860076,0.000000,230078,0.005035
17 13 17 21 13 13 22 16 16 ,10,12,101,1.587596,13.726715,0.315795,13.410919,0.000000,231492,0.005737
19 17 12 14 18 19 14 13 12 11 13 20 18 17 21 21 18 12 22 11 21 12 15 16 17 21 17 14 13 15 13 21 13 21 ,10,12,101,1.587596,53.921722,1.228088,52.693664,0.000000,236946,0.004943
19 15 20 19 13 15 12 15 17 16 13 21 15 17 20 12 15 13 12 13 12 15 16 16 21 21 11 19 22 19 ,10,12,101,1.587596,47.023468,1.068084,45.955383,0.000000,241693,0.003875
18 17 ,10,12,101,1.587596,1.609619,0.042175,1.567474,0.000000,241895,0.007141
12 18 ,10,12,101,1.587596,3.187713,0.083465,3.104248,0.000000,242299,0.006195
15 12 14 11 20 19 11 17 18 18 15 17 13 18 17 13 12 ,10,12,101,1.587596,25.726593,0.588958,25.137634,0.000000,244925,0.004089
18 20 13 21 15 19 13 21 11 20 19 12 17 18 ,10,12,101,1.587596,21.336975,0.492584,20.844421,0.000000,247147,0.003875
17 17 16 15 18 17 12 21 20 22 15 15 11 17 11 20 15 21 13 17 ,10,12,101,1.587596,31.445892,0.724945,30.720977,0.000000,250379,0.003875
15 16 13 22 15 20 13 16 14 15 ,10,12,101,1.587596,15.023468,0.341156,14.682342,0.000000,251894,0.009521
17 12 15 18 12 18 15 22 19 22 22 14 19 15 15 20 19 22 19 17 17 ,10,12,101,1.587596,33.187438,0.753173,32.434295,0.000000,255227,0.007720
16 15 22 19 11 18 11 19 14 13 14 14 12 15 22 19 18 17 20 11 18 14 13 22 13 16 ,10,12,101,1.587596,40.663940,0.929595,39.734344,0.000000,259368,0.004058
17 12 17 20 11 11 ,10,12,101,1.587596,8.632995,0.201080,8.431945,0.000000,260277,0.007812
12 18 19 11 22 ,10,12,101,1.587596,6.461212,0.155059,6.306182,0.000000,260984,0.008239
12 22 11 20 15 15 12 11 15 11 15 11 11 17 13 20 21 14 16 18 ,10,12,101,1.587596,30.461914,0.700622,29.761260,0.000000,264115,0.003875
15 13 13 12 21 15 19 14 15 13 20 19 ,10,12,101,1.587596,17.938873,0.409332,17.529571,0.000000,265933,0.003875
14 18 16 14 11 20 15 20 19 12 22 12 14 ,10,12,101,1.587596,20.742553,0.476806,20.265747,0.000000,268054,0.003906
19 11 12 17 ,10,12,101,1.587596,4.968963,0.111877,4.857086,0.000000,268559,0.008331
19 20 21 14 11 19 12 17 ,10,12,101,1.587596,11.906402,0.274841,11.631561,0.000000,269771,0.005493
19 19 13 12 ,10,12,101,1.587596,5.445526,0.131744,5.313812,0.000000,270377,0.008056
22 12 19 ,10,12,101,1.587596,3.359527,0.086334,3.273193,0.000000,270781,0.007080
13 21 16 19 19 14 ,10,12,101,1.587596,8.086944,0.198608,7.888366,0.000000,271690,0.003875
12 19 ,10,12,101,1.587596,2.359588,0.060913,2.298706,0.000000,271993,0.004302
13 18 18 20 22 19 18 20 17 ,10,12,101,1.587596,14.007934,0.319519,13.688446,0.000000,273407,0.004943
19 19 13 19 21 14 11 13 15 21 22 11 11 16 22 17 15 ,10,12,101,1.587596,27.195312,0.616546,26.578765,0.000000,276134,0.008392
17 15 18 20 19 19 15 13 17 15 22 22 ,10,12,101,1.587596,17.625122,0.406463,17.218658,0.000000,277952,0.008178
19 18 13 15 ,10,12,101,1.587596,5.048095,0.130889,4.917236,0.000000,278558,0.003875
11 11 18 22 19 13 19 19 21 15 19 21 ,10,12,101,1.587596,19.211029,0.450500,18.760559,0.000000,280579,0.011657
11 13 ,10,12,101,1.587596,1.640869,0.043365,1.597534,0.000000,280780,0.009429
12 14 13 21 12 13 13 15 19 15 14 ,10,12,101,1.587596,17.312622,0.402557,16.910034,0.000000,282598,0.009185
18 14 18 13 ,10,12,101,1.587596,5.804901,0.136108,5.668823,0.000000,283204,0.003875
