nodeID,channel,ASN
3,21,3030
3,13,3232
3,18,3535
3,17,4343
3,14,5050
3,22,5252
3,17,5555
3,11,5757
3,12,6161
3,21,6666
3,17,6767
3,22,7676
3,17,7979
3,11,8181
3,12,8585
3,21,9090
3,11,9393
3,22,10100
3,21,10302
3,17,10403
3,20,11211
3,21,11514
3,16,12120
3,11,13029
3,17,15251
3,13,15352
3,21,16362
3,15,16766
3,12,17069
3,21,17574
3,11,17877
3,21,18786
3,11,19089
3,18,20503
3,16,20604
3,14,20806
3,22,21008
3,17,21311
3,15,21614
3,18,21715
3,12,21917
3,22,22220
3,11,22725
3,12,23129
3,22,23432
3,19,23533
3,21,23634
3,18,24139
3,16,24240
3,21,24846
3,15,25250
3,18,25351
3,16,25452
3,17,26159
3,11,26361
3,14,26866
3,20,26967
3,22,27068
3,19,27169
3,21,27270
3,17,27371
3,11,27573
3,12,27977
3,21,28482
3,15,28886
3,20,29391
3,13,29896
3,11,29997
3,15,30098
3,20,30604
3,18,31411
3,14,31714
3,18,49591
3,16,49692
3,13,50500
3,18,50803
3,16,50905
3,22,51308
3,19,51409
3,17,51611
3,13,51712
3,15,51915
3,14,52318
3,21,56358
3,13,56560
3,18,56863
3,16,56964
3,16,58176
3,13,58984
3,11,59085
3,15,59186
3,18,59287
3,14,59590
3,22,61004
3,21,61206
3,13,61408
3,20,62115
3,20,63327
3,14,64438
3,18,65347
3,14,65650
3,17,66155
3,13,66256
3,11,66357
3,15,66458
3,14,66862
3,20,66963
3,22,67064
3,15,67670
3,18,70195
3,12,70397
3,11,71205
3,16,75144
3,17,75851
3,12,76457
3,17,77063
3,21,85446
3,13,86860
3,14,87466
3,12,117665
3,15,118574
3,21,119382
3,14,121402
3,20,121503
3,21,121806
3,17,121907
3,11,122109
3,18,140491
3,12,140693
3,14,140794
3,13,141400
3,18,141703
3,16,141804
3,22,142208
3,14,152914
3,17,153419
3,13,153520
3,22,154328
3,19,154429
3,17,154631
3,11,154833
3,18,155035
3,14,155338
3,20,155439
3,11,165741
3,13,166852
3,11,166953
3,20,167559
3,22,167660
3,11,168165
3,18,168367
3,22,168872
3,19,168973
3,14,169882
3,18,170791
3,20,171195
3,21,171498
3,15,171902
3,18,172003
3,16,172104
3,12,172205
3,14,172306
3,19,172609
3,18,173215
3,16,173316
3,19,173821
3,13,174124
3,16,174528
3,22,174932
3,21,175134
3,15,175539
3,19,176245
3,18,176851
3,12,177053
3,14,178366
3,13,178972
3,11,179073
3,12,179477
3,14,179578
3,22,179780
3,13,180184
3,11,180285
3,16,180588
3,19,181093
3,13,181396
3,11,181497
3,18,181699
3,16,181800
3,14,182002
3,19,182305
3,11,182709
3,12,183113
3,17,183719
3,15,184022
3,22,184628
3,21,184830
3,16,185436
3,12,185537
3,19,185941
3,11,186345
3,16,186648
3,12,186749
3,19,187153
3,12,189173
3,20,189375
3,19,189577
3,11,189981
3,14,190486
3,22,190688
3,19,190789
3,18,191395
3,14,191698
3,18,192607
3,22,193112
3,12,194021
3,14,194122
3,11,194829
3,18,195031
3,16,195132
3,12,195233
3,13,195940
3,18,196243
3,16,196344
3,12,196445
3,22,196748
3,19,196849
3,11,197253
3,22,197960
3,16,198768
3,21,199374
3,15,199778
3,16,199980
3,22,200384
3,19,200485
3,11,200889
3,18,201091
3,17,201899
3,18,202303
3,19,202909
3,11,203313
3,15,203414
3,18,203515
3,16,203616
3,12,203717
3,14,203818
3,13,221392
3,16,221796
3,12,221897
3,22,222200
3,17,222503
3,11,222705
3,15,222806
3,20,223311
3,11,223917
3,15,224018
3,15,230078
3,14,230482
3,22,230684
3,13,233512
3,22,234320
3,16,235128
3,12,243713
3,20,243915
3,21,244218
3,13,244420
3,15,244622
3,22,245228
3,16,246036
3,19,246542
3,18,247147
3,15,264014
3,12,264317
3,21,264822
3,17,264923
3,20,265731
3,22,265832
3,18,266539
3,14,266842
3,22,267044
3,17,267347
3,22,268256
3,15,268862
3,20,269367
3,13,269872
3,11,269973
3,18,270175
3,16,270276
3,22,270680
3,18,271387
3,13,272296
3,11,272397
3,16,272700
3,12,278861
3,13,279568
3,12,280073
3,17,280679
3,13,280780
3,11,280881
3,15,280982
3,20,281487
3,19,281689
3,21,281790
3,11,282093
3,18,283507
3,16,283608
3,14,283810
3,21,284214
3,11,284517
3,14,285022
3,19,285325
3,21,285426
3,12,286133
3,14,287446
3,17,287951
3,16,288456
3,14,288658
3,17,289163
3,17,290375
3,19,291385
3,11,291789
3,18,291991
3,20,292395
3,13,292900
3,18,293203
3,16,293304
3,12,293405
3,14,293506
3,20,293607
3,22,293708
3,18,294415
3,20,294819
3,15,295526
3,14,295930
3,13,296536
3,15,296738
3,18,296839
3,22,297344
3,11,297849
3,15,297950
3,22,298556
3,19,298657
3,13,298960
3,11,299061
3,12,299465
3,12,334613
3,19,335017
3,13,335320
3,11,335421
3,20,336027
3,13,336532
3,11,336633
3,20,339663
3,22,339764
3,21,339966
3,22,343400
3,16,344208
3,12,345521
3,21,346026
3,16,346632
3,20,346935
3,13,347440
3,18,347743
3,20,348147
3,17,348551
3,14,349258
3,22,349460
3,19,349561
3,18,350167
3,19,350773
3,15,351278
3,18,351379
3,22,353096
3,13,353500
3,14,354106
3,14,355318
3,22,355520
3,17,355823
3,13,355924
3,16,356328
3,11,357237
3,13,358348
3,12,358853
3,14,358954
3,20,359055
3,22,359156
3,19,359257
3,15,359762
3,19,360469
3,21,361782
3,18,362287
3,22,362792
3,13,363196
3,15,363398
3,22,364004
3,21,364206
3,13,364408
3,11,364509
3,21,366630
3,20,367539
3,21,367842
3,16,368448
3,19,368953
3,21,369054
3,13,369256
3,14,369862
3,11,370569
3,20,371175
3,22,371276
3,13,371680
3,16,372084
3,17,372791
3,14,373498
3,15,374306
3,18,374407
3,20,374811
3,22,374912
3,14,375922
3,14,377134
3,20,377235
3,22,377336
3,13,377740
3,21,378750
3,11,379053
3,16,379356
3,12,379457
3,20,379659
3,21,379962
3,18,380467
3,17,381275
3,15,381578
3,18,381679
3,16,381780
3,14,381982
3,21,382386
3,15,382790
3,18,382891
3,16,382992
3,12,383093
3,21,384810
3,15,385214
3,19,385921
3,13,386224
3,19,387133
3,17,387335
3,15,387638
3,16,387840
3,22,388244
3,13,388648
3,11,388749
3,13,389860
3,12,390365
3,19,390769
3,21,392082
3,17,392183
3,15,392486
3,22,393092
3,13,393496
3,18,393799
