scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
13 13 ,10,4,101,1.587596,2.388458,0.056640,2.331787,0.000000,36865,0.009002
11 12 14 ,10,4,101,1.587596,4.211181,0.105926,4.105255,0.000000,37370,0.005950
11 12 11 12 11 13 14 ,10,4,101,1.587596,11.164978,0.267028,10.897949,0.000000,38582,0.003875
13 13 11 11 ,10,4,101,1.587596,5.328338,0.134582,5.193756,0.000000,39188,0.005615
11 12 ,10,4,101,1.587596,2.609619,0.066833,2.542785,0.000000,39491,0.006927
11 ,10,4,101,1.587596,0.179962,0.015625,0.164337,0.000000,39592,0.004730
14 14 11 ,10,4,101,1.587596,3.969085,0.090606,3.878509,0.000000,39996,0.003875
14 12 ,10,4,101,1.587596,2.117340,0.058563,2.058776,0.000000,40299,0.005004
13 11 11 13 14 ,10,4,101,1.587596,7.057250,0.161285,6.895965,0.000000,41006,0.005371
12 ,10,4,101,1.587596,0.133789,0.016418,0.117370,0.000000,41107,0.003875
11 ,10,4,101,1.587596,0.890808,0.020355,0.870452,0.000000,41208,0.008850
14 13 14 11 12 ,10,4,101,1.587596,6.687713,0.156921,6.530792,0.000000,41915,0.009155
12 14 12 13 12 ,10,4,101,1.587596,7.734558,0.185760,7.548828,0.000000,42723,0.007232
12 11 14 12 13 11 12 12 12 14 13 14 12 ,10,4,101,1.587596,19.868560,0.455657,19.412872,0.000000,44743,0.003906
14 12 11 12 13 12 14 ,10,4,101,1.587596,10.922058,0.248046,10.674011,0.000000,45854,0.009826
11 ,10,4,101,1.587596,1.390869,0.042205,1.348663,0.000000,46056,0.005462
12 13 11 ,10,4,101,1.587596,3.820556,0.089080,3.731475,0.000000,46460,0.004516
14 13 12 13 12 ,10,4,101,1.587596,6.828338,0.159149,6.669189,0.000000,47167,0.004852
11 ,10,4,101,1.587596,0.868682,0.024322,0.844360,0.000000,47268,0.003875
