scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
20 14 ,6,16,101,1.587596,2.882080,0.062622,2.819458,0.000000,76861,0.003906
26 26 19 14 17 16 22 16 18 ,6,16,101,1.587596,13.563537,0.289337,13.274230,0.000000,78275,0.003875
17 11 20 14 17 16 ,6,16,101,1.587596,8.734649,0.186798,8.547851,0.000000,79184,0.006927
23 24 25 13 11 20 11 23 24 25 13 14 14 15 18 13 15 18 13 11 12 25 22 16 13 14 17 19 14 11 25 21 12 12 20 17 24 25 13 15 20 14 17 26 16 21 23 ,6,16,101,1.587596,74.601867,1.715148,72.886688,0.000000,86658,0.009277
22 ,6,16,101,1.587596,0.078399,0.015014,0.063385,0.000000,86759,0.007080
13 17 ,6,16,101,1.587596,1.938934,0.043426,1.895507,0.000000,86961,0.003875
15 18 22 24 20 17 26 16 13 11 12 25 18 21 ,6,16,101,1.587596,21.625274,0.489471,21.135833,0.000000,89183,0.009307
20 15 22 19 ,6,16,101,1.587596,5.015869,0.121917,4.893981,0.000000,89688,0.006164
16 22 ,6,16,101,1.587596,2.711181,0.071197,2.640014,0.000000,89991,0.007476
19 14 17 23 24 23 26 26 19 17 24 ,6,16,101,1.587596,16.765869,0.416961,16.348937,0.000000,91708,0.009368
13 14 14 17 24 12 25 22 26 24 24 20 11 23 19 14 17 24 12 20 14 15 21 12 ,6,16,101,1.587596,38.164337,0.818542,37.345794,0.000000,95546,0.004455
22 19 11 25 18 18 21 20 15 21 12 23 16 21 25 18 22 16 18 21 23 26 26 16 18 13 11 23 24 23 26 ,6,16,101,1.587596,49.570617,1.185577,48.385009,0.000000,100596,0.004608
14 17 24 12 20 17 ,6,16,101,1.587596,9.062774,0.188140,8.874633,0.000000,101505,0.008361
24 12 25 22 26 ,6,16,101,1.587596,6.820587,0.147216,6.673370,0.000000,102212,0.008728
20 17 24 12 20 15 18 18 13 14 17 24 25 21 12 23 19 14 15 ,6,16,101,1.587596,29.219024,0.660125,28.558929,0.000000,105141,0.007812
24 23 19 14 14 ,6,16,101,1.587596,7.812744,0.195556,7.617218,0.000000,105949,0.005950
23 ,6,16,101,1.587596,0.851928,0.023437,0.828521,0.000000,106050,0.003875
23 16 13 17 16 13 11 ,6,16,101,1.587596,10.586914,0.268432,10.318511,0.000000,107161,0.003875
22 16 18 18 22 26 26 19 15 18 22 26 19 17 26 19 14 17 26 24 23 21 12 20 15 21 20 14 17 24 23 24 23 ,6,16,101,1.587596,52.836212,1.170074,51.666168,0.000000,112514,0.004547
15 13 17 16 22 26 16 22 24 20 25 22 26 16 ,6,16,101,1.587596,21.789794,0.540527,21.249237,0.000000,114736,0.003906
15 ,6,16,101,1.587596,0.312683,0.017395,0.295288,0.000000,114837,0.009033
22 19 14 15 13 15 13 11 23 26 24 25 26 24 25 18 18 13 15 22 26 19 21 12 23 26 24 ,6,16,101,1.587596,42.812774,0.931091,41.881713,0.000000,119180,0.008758
23 16 18 13 15 13 14 14 11 23 16 13 14 20 11 12 20 ,6,16,101,1.587596,26.140899,0.643798,25.497100,0.000000,121806,0.006683
25 22 24 23 26 26 19 15 25 13 11 20 15 13 17 ,6,16,101,1.587596,22.446197,0.475952,21.970245,0.000000,124129,0.003875
26 26 24 23 24 12 23 24 12 12 12 25 22 16 18 18 ,6,16,101,1.587596,25.515899,0.593109,24.922821,0.000000,126755,0.008941
13 15 22 ,6,16,101,1.587596,3.500244,0.093383,3.406890,0.000000,127159,0.008026
12 25 ,6,16,101,1.587596,2.039306,0.064208,1.975128,0.000000,127462,0.009277
