scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
17 17 17 15 12 11 17 16 16 17 14 18 12 12 13 15 11 16 14 18 11 16 17 15 13 16 17 14 12 18 11 14 18 13 14 13 14 18 13 16 16 17 16 16 ,5,8,101,0.500000,22.146362,0.514129,21.632232,0.000000,57368,0.005889
17 17 16 14 13 17 14 11 16 16 17 14 12 13 15 13 14 18 13 17 14 11 15 13 15 13 16 16 14 11 15 18 18 11 17 16 15 18 11 15 12 11 16 14 11 14 12 11 14 12 13 16 16 14 13 14 ,5,8,101,0.500000,28.086303,0.653015,27.433319,0.000000,60197,0.012878
17 16 15 11 15 12 11 14 12 11 14 13 17 16 16 16 17 16 14 13 14 11 15 11 15 12 18 18 18 12 11 17 14 17 17 16 14 13 17 14 18 12 11 17 16 16 15 18 18 12 13 17 17 14 11 17 14 11 16 17 15 12 11 16 17 17 14 12 12 12 11 15 12 13 14 13 14 11 17 14 12 12 11 16 16 15 18 18 13 17 17 17 16 16 15 11 16 15 15 12 11 16 ,5,8,101,0.500000,51.602844,1.200683,50.402191,0.000000,65448,0.003875
13 15 11 17 15 12 18 18 11 15 12 13 16 17 16 15 12 18 12 18 18 18 ,5,8,101,0.500000,11.095458,0.258605,10.836853,0.000000,66559,0.003875
18 13 14 13 15 13 14 11 17 14 18 18 12 11 17 14 11 14 13 16 15 18 11 16 15 13 ,5,8,101,0.500000,13.180725,0.322875,12.857818,0.000000,67973,0.003875
13 16 16 15 12 12 18 12 12 11 14 18 11 15 12 12 11 15 13 15 13 14 12 12 12 13 17 17 14 12 12 13 ,5,8,101,0.500000,15.953460,0.371887,15.581573,0.000000,69589,0.007293
15 ,5,8,101,0.500000,0.039337,0.014892,0.024414,0.000000,69690,0.005096
12 18 12 11 16 14 18 12 12 11 16 ,5,8,101,0.500000,5.375305,0.138916,5.236358,0.000000,70296,0.007690
12 12 13 15 ,5,8,101,0.500000,1.625885,0.040130,1.585784,0.000000,70498,0.003875
14 11 17 17 14 12 12 13 17 15 11 14 11 15 18 11 16 16 15 13 14 12 18 18 13 17 16 15 18 12 18 18 12 12 12 18 12 ,5,8,101,0.500000,18.304992,0.439849,17.865173,0.000000,72417,0.008666
15 12 13 14 11 16 17 14 12 13 15 11 17 14 13 16 17 ,5,8,101,0.500000,8.258117,0.200714,8.057403,0.000000,73326,0.004638
17 16 17 14 11 16 14 11 14 12 12 12 13 15 11 17 14 11 15 13 17 16 15 11 16 17 14 13 16 14 12 12 12 18 11 17 14 11 14 18 18 11 14 12 18 12 11 16 17 17 15 12 12 12 13 15 18 11 16 17 14 11 17 14 12 18 18 12 11 14 11 16 14 18 18 11 15 11 15 11 17 15 13 16 15 12 13 17 14 12 18 13 17 17 17 15 18 11 15 13 17 14 11 16 17 16 17 15 11 14 12 18 18 11 15 13 16 15 13 14 18 18 13 17 16 16 17 15 18 13 16 ,5,8,101,0.500000,66.242736,1.540161,64.702575,0.000000,79992,0.008972
15 12 18 18 12 12 13 14 12 13 17 15 12 11 16 15 13 ,5,8,101,0.500000,8.281555,0.203491,8.078063,0.000000,80901,0.004913
12 15 18 13 15 18 18 13 14 11 17 16 15 18 12 18 11 16 15 12 11 16 15 18 11 16 17 16 16 17 14 13 14 11 17 16 17 16 16 14 18 18 18 12 13 16 14 13 16 16 17 14 18 12 18 18 12 11 17 17 15 18 13 ,5,8,101,0.500000,31.898803,0.747344,31.151458,0.000000,84133,0.005371
11 17 16 17 14 18 12 13 16 16 16 12 12 12 18 12 13 14 11 17 14 13 15 11 16 14 12 11 ,5,8,101,0.500000,14.000305,0.323425,13.676879,0.000000,85547,0.006072
17 14 13 17 16 16 15 18 ,5,8,101,0.500000,3.867401,0.096954,3.770446,0.000000,85951,0.005157
14 18 13 15 12 13 14 11 14 18 18 12 11 14 11 17 16 15 13 17 17 16 15 13 15 13 15 12 12 12 11 17 16 15 13 15 13 16 15 12 12 12 13 15 11 15 11 17 16 15 12 12 11 15 13 15 11 14 11 14 13 17 15 13 16 17 15 12 18 11 15 18 11 15 12 18 18 13 16 16 17 17 14 18 13 17 15 18 13 18 12 12 11 16 17 15 12 13 16 17 17 15 12 18 18 18 12 12 13 14 13 14 13 15 13 15 18 18 18 12 11 17 15 18 13 17 17 17 16 15 12 11 16 16 17 16 16 14 12 12 13 15 11 17 16 17 16 17 15 13 12 18 12 11 14 11 14 12 13 14 18 18 13 16 14 12 13 14 11 15 12 12 11 14 13 14 12 12 11 14 18 13 16 14 18 12 12 12 18 13 15 11 15 12 ,5,8,101,0.500000,98.477233,2.284179,96.193054,0.000000,95849,0.009887
17 16 16 14 18 18 12 11 17 16 15 18 ,5,8,101,0.500000,5.742462,0.137664,5.604797,0.000000,96455,0.004608
14 11 16 17 15 18 18 12 13 16 16 17 16 16 15 18 ,5,8,101,0.500000,7.680938,0.183593,7.497375,0.000000,97263,0.003875
17 14 13 15 11 17 17 11 17 14 12 12 11 14 12 12 18 11 14 12 11 14 13 15 12 11 16 15 12 11 16 17 17 16 16 15 12 18 11 ,5,8,101,0.500000,19.578460,0.463317,19.115142,0.000000,99284,0.011596
17 16 17 16 17 14 12 13 15 12 13 14 13 15 13 14 18 18 18 18 11 16 14 11 17 17 17 17 16 15 18 18 12 11 16 18 13 16 16 16 16 16 17 16 16 16 17 16 17 17 14 11 16 16 16 16 16 17 14 12 11 17 14 18 12 12 13 15 ,5,8,101,0.500000,34.414459,0.812530,33.601928,0.000000,102818,0.007629
16 16 17 16 16 15 11 15 13 14 12 11 14 11 14 18 12 13 14 12 12 ,5,8,101,0.500000,10.226898,0.244964,9.981933,0.000000,103929,0.002532
13 16 14 12 12 12 12 12 13 14 13 17 15 11 17 16 16 14 12 16 16 16 14 13 17 14 13 17 15 13 15 18 12 12 13 15 11 14 13 14 11 14 18 13 16 15 11 17 15 18 11 14 11 14 13 16 15 13 16 16 15 18 12 18 12 18 11 15 12 18 12 12 12 11 16 15 17 14 18 18 13 17 ,5,8,101,0.500000,41.399047,0.960266,40.438781,0.000000,108070,0.003906
18 18 12 11 15 13 16 14 12 12 13 15 12 13 16 17 15 13 16 ,5,8,101,0.500000,9.336242,0.226654,9.109588,0.000000,109080,0.005126
11 16 14 12 11 14 11 17 17 15 13 17 16 16 14 11 17 17 15 12 12 12 11 16 14 11 17 ,5,8,101,0.500000,13.351867,0.317382,13.034484,0.000000,110494,0.005828
12 18 11 16 14 18 12 11 15 13 17 16 16 15 11 17 17 14 12 18 18 18 11 14 11 17 14 12 12 ,5,8,101,0.500000,14.304992,0.341766,13.963226,0.000000,112009,0.004302
12 11 15 11 17 15 11 14 11 15 11 15 11 16 17 14 11 14 13 15 18 13 16 15 18 13 17 17 14 ,5,8,101,0.500000,14.345123,0.342498,14.002624,0.000000,113524,0.003875
11 15 12 18 11 16 15 11 15 11 15 13 15 12 17 17 14 18 13 14 11 ,5,8,101,0.500000,10.648742,0.251495,10.397247,0.000000,114635,0.010040
13 17 17 16 15 ,5,8,101,0.500000,2.367828,0.065917,2.301910,0.000000,114938,0.003875
17 14 12 12 13 16 14 11 15 18 18 12 13 16 15 13 16 16 16 14 12 18 11 14 12 11 17 17 15 12 12 11 16 16 14 12 13 17 16 16 15 11 16 14 18 12 12 13 15 18 ,5,8,101,0.500000,25.234741,0.585144,24.649597,0.000000,117464,0.009277
18 18 18 12 ,5,8,101,0.500000,1.672149,0.039825,1.632324,0.000000,117665,0.007049
18 18 13 14 18 12 18 11 16 17 14 12 11 17 13 15 12 18 18 18 18 13 14 18 11 16 15 11 14 11 15 13 14 12 11 16 15 18 18 13 ,5,8,101,0.500000,20.103363,0.469268,19.634063,0.000000,119685,0.003875
11 14 11 15 18 11 14 12 12 13 16 16 16 15 18 11 15 12 18 18 11 16 16 14 12 11 16 15 11 14 13 14 18 18 18 ,5,8,101,0.500000,17.742523,0.416534,17.325988,0.000000,121503,0.010009
14 12 18 12 12 13 16 14 11 14 13 14 12 11 15 18 ,5,8,101,0.500000,7.836212,0.185241,7.651000,0.000000,122311,0.008148
13 14 12 18 12 18 11 ,5,8,101,0.500000,3.211212,0.081298,3.129913,0.000000,122715,0.007232
18 15 12 18 12 13 17 17 15 13 14 18 13 17 15 12 12 13 14 18 13 14 12 18 11 14 18 11 17 17 14 12 18 13 14 11 14 12 13 17 16 17 17 15 11 15 11 ,5,8,101,0.500000,23.758178,0.559722,23.198455,0.000000,125139,0.009521
16 14 11 15 11 14 18 18 18 12 18 13 17 ,5,8,101,0.500000,6.367462,0.155151,6.212341,0.000000,125846,0.009887
15 13 17 16 ,5,8,101,0.500000,1.664306,0.046966,1.617370,0.000000,126048,0.005523
13 16 17 15 11 17 14 ,5,8,101,0.500000,3.554962,0.084625,3.470336,0.000000,126452,0.004577
