scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
21 17 20 16 ,6,12,101,1.587596,5.997833,0.148101,5.849761,0.000000,179376,0.007690
21 14 11 22 20 14 14 15 12 14 11 18 18 18 12 18 20 22 ,6,12,101,1.587596,27.469024,0.690002,26.779022,0.000000,182204,0.009033
22 16 16 18 14 19 13 14 19 14 11 16 12 16 15 19 14 17 16 18 ,6,12,101,1.587596,30.937896,0.647979,30.289947,0.000000,185335,0.003875
14 12 19 11 18 11 14 12 12 12 20 13 20 15 11 15 21 18 14 16 14 12 14 18 21 19 12 20 18 16 14 14 14 21 11 22 21 12 18 13 11 12 21 13 20 19 17 16 20 16 14 12 16 17 22 11 17 17 20 15 22 17 21 11 22 21 20 20 14 17 14 21 20 11 19 11 20 18 19 15 11 20 13 11 14 ,6,12,101,1.587596,135.617401,3.027801,132.589599,0.000000,198970,0.005554
20 ,6,12,101,1.587596,0.297637,0.017791,0.279815,0.000000,199071,0.003875
11 21 18 14 11 11 12 13 14 17 18 11 ,6,12,101,1.587596,18.166351,0.442230,17.724121,0.000000,200889,0.003875
11 21 16 13 11 17 ,6,12,101,1.587596,9.304962,0.239105,9.065856,0.000000,201899,0.004669
12 12 19 20 13 21 12 12 12 22 12 14 11 21 12 16 18 12 19 13 21 14 20 11 ,6,12,101,1.587596,38.140899,0.866485,37.274414,0.000000,205737,0.007629
13 21 11 19 20 17 ,6,12,101,1.587596,9.289337,0.202972,9.086395,0.000000,206747,0.009216
19 20 11 11 21 14 19 16 18 15 ,6,12,101,1.587596,14.586212,0.311614,14.274566,0.000000,208262,0.007629
12 14 20 ,6,12,101,1.587596,4.625183,0.112030,4.513153,0.000000,208767,0.004547
13 17 11 16 11 13 12 ,6,12,101,1.587596,9.859619,0.242736,9.616912,0.000000,209777,0.006072
16 16 13 20 14 20 11 11 19 16 22 11 21 21 20 12 20 17 22 12 11 15 20 12 18 12 12 11 ,6,12,101,1.587596,43.531707,1.035186,42.496551,0.000000,214221,0.003875
22 17 19 22 16 13 20 16 14 22 18 16 11 20 13 12 16 ,6,12,101,1.587596,26.828399,0.562622,26.265808,0.000000,216948,0.007202
22 22 20 15 13 ,6,12,101,1.587596,7.609649,0.175415,7.434234,0.000000,217756,0.005340
15 11 20 15 12 18 11 22 21 18 ,6,12,101,1.587596,14.656616,0.362518,14.294097,0.000000,219271,0.003906
16 15 11 20 20 20 16 17 17 17 16 14 21 14 20 20 18 15 16 19 18 21 15 20 18 20 19 ,6,12,101,1.587596,42.250274,0.973510,41.276763,0.000000,223513,0.005767
11 20 22 11 11 18 15 21 ,6,12,101,1.587596,12.469024,0.267913,12.201110,0.000000,224826,0.008575
18 11 17 16 14 22 20 17 21 13 21 18 22 22 ,6,12,101,1.587596,22.008087,0.496734,21.511383,0.000000,227048,0.007385
11 16 15 16 20 15 14 21 14 16 20 13 18 19 21 18 11 16 21 18 13 16 13 21 ,6,12,101,1.587596,37.517272,0.907470,36.609832,0.000000,230886,0.003875
11 11 ,6,12,101,1.587596,2.828521,0.061340,2.767181,0.000000,231189,0.003906
21 20 14 ,6,12,101,1.587596,4.758087,0.102325,4.655761,0.000000,231694,0.008422
15 19 18 20 11 15 12 21 17 11 12 20 11 18 ,6,12,101,1.587596,20.851837,0.438568,20.413269,0.000000,233815,0.009368
17 17 11 19 16 22 20 21 18 14 ,6,12,101,1.587596,15.062744,0.350219,14.712554,0.000000,235330,0.007812
12 13 17 14 11 15 19 14 ,6,12,101,1.587596,11.992370,0.293640,11.698760,0.000000,236542,0.005065
20 ,6,12,101,1.587596,0.384094,0.019561,0.364532,0.000000,236643,0.003875
19 ,6,12,101,1.587596,1.297119,0.043060,1.254089,0.000000,236845,0.006317
17 ,6,12,101,1.587596,1.047119,0.039520,1.007629,0.000000,237047,0.009765
22 20 22 20 14 19 ,6,12,101,1.587596,9.508392,0.242309,9.266113,0.000000,238057,0.003875
15 14 17 20 16 20 22 ,6,12,101,1.587596,10.368408,0.237915,10.130523,0.000000,239168,0.003875
20 14 19 11 17 20 19 13 11 14 18 18 ,6,12,101,1.587596,18.414337,0.392425,18.021911,0.000000,241087,0.008300
21 16 13 18 11 12 14 12 20 19 16 22 13 22 15 ,6,12,101,1.587596,22.820495,0.515808,22.304718,0.000000,243410,0.004882
