scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
14 11 14 ,5,4,101,0.500000,1.255645,0.032348,1.223327,0.000000,155742,0.004058
12 12 13 11 13 ,5,4,101,0.500000,2.539337,0.059783,2.479553,0.000000,156045,0.005340
14 13 11 13 13 14 12 11 11 13 13 14 11 14 13 14 14 11 14 11 11 12 11 14 11 11 11 11 13 14 13 14 12 11 14 12 ,5,4,101,0.500000,18.140960,0.424591,17.716369,0.000000,157863,0.005035
12 13 11 12 12 12 14 12 13 14 11 11 11 12 13 12 11 12 11 14 11 14 13 14 12 14 11 11 11 11 13 14 14 12 11 11 13 14 13 13 13 14 13 ,5,4,101,0.500000,21.555023,0.508239,21.046813,0.000000,160085,0.003906
12 14 12 14 13 12 14 13 12 13 13 11 11 13 11 11 12 14 13 12 11 ,5,4,101,0.500000,10.422729,0.248413,10.174316,0.000000,161196,0.003906
11 11 11 14 13 11 14 13 11 11 12 11 11 13 14 14 13 11 13 14 ,5,4,101,0.500000,9.758117,0.233428,9.524688,0.000000,162206,0.005004
13 14 11 ,5,4,101,0.500000,1.078308,0.036071,1.042236,0.000000,162408,0.008422
11 13 ,5,4,101,0.500000,0.726837,0.022796,0.704010,0.000000,162509,0.006256
13 12 14 12 12 14 12 12 11 11 13 14 11 ,5,4,101,0.500000,6.187774,0.155029,6.032745,0.000000,163216,0.006591
12 13 11 14 11 14 13 12 13 ,5,4,101,0.500000,4.422546,0.114074,4.308502,0.000000,163721,0.003875
13 13 12 11 13 13 14 11 13 12 11 13 12 11 ,5,4,101,0.500000,6.765960,0.160736,6.605224,0.000000,164428,0.003875
14 13 ,5,4,101,0.500000,0.929962,0.020721,0.909240,0.000000,164529,0.009460
11 12 11 11 12 13 14 11 13 14 11 11 13 14 13 14 14 ,5,4,101,0.500000,8.258087,0.206085,8.052001,0.000000,165438,0.005432
13 12 11 ,5,4,101,0.500000,1.187744,0.041534,1.146240,0.000000,165640,0.008880
12 12 11 11 14 13 12 13 14 13 ,5,4,101,0.500000,4.633087,0.108886,4.524200,0.000000,166145,0.005798
11 11 13 11 13 13 12 14 14 ,5,4,101,0.500000,4.352966,0.109680,4.243316,0.000000,166650,0.003875
12 11 13 14 11 12 12 14 13 13 11 ,5,4,101,0.500000,5.187774,0.135131,5.052642,0.000000,167256,0.005218
11 12 12 14 12 ,5,4,101,0.500000,2.320587,0.063446,2.257141,0.000000,167559,0.006500
11 11 ,5,4,101,0.500000,0.968994,0.025360,0.943664,0.000000,167660,0.004302
13 ,5,4,101,0.500000,0.172119,0.016540,0.155609,0.000000,167761,0.009948
12 14 ,5,4,101,0.500000,0.906494,0.023284,0.883239,0.000000,167862,0.007751
13 13 12 14 13 11 11 14 13 11 12 13 11 11 14 ,5,4,101,0.500000,7.258026,0.179199,7.078826,0.000000,168670,0.005920
13 11 11 14 13 11 13 14 ,5,4,101,0.500000,3.711212,0.091033,3.620208,0.000000,169074,0.004974
11 11 12 12 13 12 12 14 ,5,4,101,0.500000,3.984649,0.090240,3.894409,0.000000,169478,0.004089
13 14 11 14 12 11 14 ,5,4,101,0.500000,3.086944,0.090789,2.996124,0.000000,169882,0.003875
11 14 14 12 14 13 ,5,4,101,0.500000,2.672149,0.062438,2.609741,0.000000,170185,0.004425
11 11 11 11 12 11 11 11 14 ,5,4,101,0.500000,4.297058,0.115875,4.181213,0.000000,170690,0.009155
13 13 13 12 13 12 14 11 12 13 13 11 ,5,4,101,0.500000,5.640930,0.136352,5.504577,0.000000,171296,0.003875
13 12 14 ,5,4,101,0.500000,1.469024,0.039093,1.429931,0.000000,171498,0.007324
13 12 ,5,4,101,0.500000,0.640899,0.018829,0.622070,0.000000,171599,0.005126
12 13 14 14 11 12 14 13 11 13 11 13 11 13 14 14 12 13 13 14 14 11 11 12 ,5,4,101,0.500000,12.103332,0.285888,11.817474,0.000000,172811,0.003875
13 13 13 13 12 14 13 14 13 12 14 14 13 12 12 11 14 11 ,5,4,101,0.500000,8.758117,0.203125,8.554992,0.000000,173720,0.006164
13 11 11 13 14 12 12 12 11 11 14 12 11 11 13 12 12 12 14 12 12 ,5,4,101,0.500000,10.633026,0.257446,10.375610,0.000000,174831,0.005615
12 11 14 14 11 11 13 14 13 11 14 13 11 12 12 11 11 14 14 13 14 14 14 14 11 13 14 11 11 14 12 14 14 13 ,5,4,101,0.500000,17.265960,0.408538,16.857421,0.000000,176649,0.005401
13 13 11 12 13 11 11 11 14 14 11 14 11 11 11 11 14 13 12 11 12 12 12 13 14 12 11 14 11 12 13 14 12 13 14 13 11 13 13 12 12 11 11 11 13 12 13 11 13 14 ,5,4,101,0.500000,25.195709,0.588836,24.606842,0.000000,179174,0.005523
11 14 11 ,5,4,101,0.500000,1.281524,0.037567,1.243957,0.000000,179376,0.008972
13 12 14 11 14 14 12 12 14 12 14 14 ,5,4,101,0.500000,5.687957,0.138397,5.549560,0.000000,179982,0.003875
11 12 12 13 11 13 ,5,4,101,0.500000,2.992462,0.070678,2.921813,0.000000,180285,0.004974
14 13 11 14 13 13 11 14 12 13 13 14 11 14 11 11 12 13 14 13 13 14 11 13 ,5,4,101,0.500000,12.109680,0.277130,11.832550,0.000000,181497,0.010040
12 11 11 14 14 13 12 11 13 14 13 12 ,5,4,101,0.500000,5.929992,0.139953,5.790008,0.000000,182103,0.004730
12 12 13 14 13 14 ,5,4,101,0.500000,2.609619,0.068725,2.540924,0.000000,182406,0.006042
12 ,5,4,101,0.500000,0.109588,0.015838,0.093780,0.000000,182507,0.003875
13 11 11 13 12 13 14 13 14 14 14 14 14 12 13 11 14 11 14 14 12 13 14 14 13 11 12 12 14 ,5,4,101,0.500000,14.375305,0.342468,14.032867,0.000000,184022,0.010131
11 13 12 11 14 13 14 14 ,5,4,101,0.500000,3.773712,0.087921,3.685791,0.000000,184426,0.009216
