scannedChannels,nodeID,channels,slots,scanPeriod,syncTime,cpuActiveTime,LPMTIme,DLPMTime,ASN,timeElapsedSinceReceptionSlotStartTime
12 11 11 11 14 11 ,7,4,101,0.500000,2.966613,0.063354,2.903259,0.000000,156348,0.008117
13 11 12 11 12 11 12 12 11 12 13 12 14 11 12 14 12 12 14 13 13 13 14 11 ,7,4,101,0.500000,11.789337,0.249237,11.540100,0.000000,157560,0.005371
11 12 11 14 ,7,4,101,0.500000,1.672119,0.039825,1.632324,0.000000,157762,0.008758
12 13 12 13 11 13 ,7,4,101,0.500000,2.617462,0.068420,2.549041,0.000000,158065,0.010070
12 12 12 14 13 11 ,7,4,101,0.500000,2.594390,0.071319,2.523071,0.000000,158368,0.003875
11 12 12 12 11 13 13 14 12 11 11 13 11 11 14 11 14 14 12 12 11 11 12 11 12 13 ,7,4,101,0.500000,12.843994,0.321258,12.522766,0.000000,159681,0.006439
14 ,7,4,101,0.500000,0.015533,0.015533,0.000000,0.000000,159782,0.003875
14 11 12 13 14 12 12 13 11 14 13 11 14 14 14 ,7,4,101,0.500000,7.337677,0.194030,7.143676,0.000000,160590,0.003875
13 13 11 14 12 11 14 ,7,4,101,0.500000,3.343994,0.092315,3.251708,0.000000,160994,0.009307
14 13 12 14 14 12 11 12 13 14 13 12 12 12 11 13 11 12 11 ,7,4,101,0.500000,9.524414,0.243835,9.280578,0.000000,162004,0.003875
11 14 11 14 13 11 13 12 12 11 13 11 14 14 14 14 13 ,7,4,101,0.500000,8.633056,0.219573,8.413513,0.000000,162913,0.006896
12 14 ,7,4,101,0.500000,0.997436,0.024932,0.972534,0.000000,163014,0.004730
13 13 14 11 ,7,4,101,0.500000,1.656494,0.046997,1.609527,0.000000,163216,0.008209
13 ,7,4,101,0.500000,0.414337,0.018768,0.395568,0.000000,163317,0.006042
14 12 11 12 11 12 11 13 ,7,4,101,0.500000,3.984649,0.100921,3.883728,0.000000,163721,0.005126
14 ,7,4,101,0.500000,0.251129,0.018035,0.233062,0.000000,163822,0.003875
12 ,7,4,101,0.500000,0.289306,0.017639,0.271667,0.000000,163923,0.008514
14 12 12 11 12 14 13 13 13 12 11 12 12 11 14 12 11 12 14 12 12 13 12 14 13 13 14 14 13 11 11 12 ,7,4,101,0.500000,15.890869,0.396026,15.494842,0.000000,165539,0.004913
12 13 12 14 11 11 12 13 11 ,7,4,101,0.500000,4.187744,0.115295,4.072448,0.000000,166044,0.009582
11 11 11 12 11 13 13 11 11 14 14 ,7,4,101,0.500000,5.539306,0.145294,5.394012,0.000000,166650,0.004394
12 11 13 12 11 12 14 12 11 13 12 14 14 13 ,7,4,101,0.500000,6.976806,0.171569,6.805236,0.000000,167357,0.004699
13 12 12 11 12 14 12 13 ,7,4,101,0.500000,3.789398,0.095825,3.693572,0.000000,167761,0.003875
11 14 ,7,4,101,0.500000,0.711181,0.021759,0.689422,0.000000,167862,0.009429
11 12 13 12 14 14 11 14 ,7,4,101,0.500000,4.030822,0.098876,3.931945,0.000000,168266,0.008453
13 13 12 11 14 12 12 14 ,7,4,101,0.500000,3.968994,0.097564,3.871429,0.000000,168670,0.007598
12 11 11 14 11 14 14 ,7,4,101,0.500000,3.554870,0.093353,3.461517,0.000000,169074,0.006652
13 11 11 11 13 13 13 13 14 13 11 13 13 ,7,4,101,0.500000,6.406433,0.165618,6.240783,0.000000,169781,0.007049
11 13 14 12 11 13 12 11 11 12 14 12 ,7,4,101,0.500000,6.008056,0.147369,5.860717,0.000000,170387,0.009582
12 12 12 11 12 11 12 ,7,4,101,0.500000,3.367431,0.091461,3.276000,0.000000,170791,0.008666
14 13 14 11 11 13 13 11 13 12 12 14 13 13 13 11 14 13 11 13 14 12 13 14 13 14 14 11 13 12 13 13 13 13 11 11 14 13 13 13 14 13 12 14 11 13 12 14 11 11 ,7,4,101,0.500000,24.953369,0.614105,24.339263,0.000000,173316,0.008819
14 13 ,7,4,101,0.500000,0.765869,0.022247,0.743652,0.000000,173417,0.006652
12 12 14 11 11 14 12 14 12 14 ,7,4,101,0.500000,4.953704,0.122100,4.831604,0.000000,173922,0.003875
12 14 13 13 12 11 13 13 14 13 12 13 14 14 12 13 14 11 13 13 13 12 11 12 14 11 12 14 14 14 13 13 11 11 11 11 14 13 13 12 14 12 11 11 12 13 ,7,4,101,0.500000,23.203369,0.565734,22.637634,0.000000,176245,0.008087
12 11 11 14 13 14 13 ,7,4,101,0.500000,3.148681,0.089355,3.059326,0.000000,176649,0.007141
12 12 14 14 11 12 14 12 12 13 13 13 13 13 11 13 12 13 12 ,7,4,101,0.500000,9.187744,0.237915,8.949829,0.000000,177659,0.008789
